Artista,Nome,Label,Playlists Plays,Track Position,Remix
Almanac,Mini Game,HUB,31,01,n/a
Jonathan Costa,Nova Geração,n/a,4,w/,n/a
Ciara,"1, 2 Step",CICLO,35,02,Lowderz & Almanac Remix
JØRD & Almanac,Las Chicas,HUB,49,03,n/a
Almanac,Pa Pa Pa Vai,HUB,11,04,n/a
Maxximal vs. Rrotik & Lothief,n/a,n/a,n/a,05,n/a
Felguk & Almanac,Move,HUB,41,06,n/a
Lowrense & Kustt,n/a,n/a,n/a,07,n/a
Almanac & RICCI,Baile,HUB,15,08,n/a
Almanac & Holt 88,Party Cake,n/a,3,09,n/a
Talstrasse,n/a,n/a,n/a,10,n/a
Hot Bullet & Cavallieri,n/a,n/a,n/a,11,n/a
Almanac & DENNIS & DJ Jonatas Felipe,Hey (Na Na Na),n/a,3,12,n/a
Almanac & Bad Neighborhood,Break It,n/a,2,13,n/a
Almanac,n/a,n/a,n/a,14,n/a
Almanac,n/a,n/a,n/a,15,n/a
Almanac,n/a,n/a,n/a,16,n/a
Almanac & Sterium,n/a,n/a,n/a,17,n/a
MKJAY & Mochakk,n/a,n/a,n/a,18,n/a
Amaarae,Sad Girlz Luv Money,GOLDEN CHILD,n/a,19,n/a
Silicon Estate,n/a,n/a,n/a,20,n/a
