Artista,Nome,Label,Playlists Plays,Track Position,Remix
Alfa Romero,Odyssey,AFTERLIFE,25,01,n/a
Moonwalk & EarthLife,Dark Waves,SPECTRUM MUSIC,69,02,n/a
Cassian,Magical,ROSE AVENUE,18,03,n/a
Pavel Petrov & Rafael Cerato,Intelligence,DAYS LIKE NIGHTS (ARMADA),62,w/,n/a
Maxim Lany,Gravity,ARMADA ELECTRONIC ELEMENTS,93,04,Adam Sellouk Remix
Olivier Giacomotto,The Unknown,ATLANT REC,62,05,n/a
Argy & Omnya,Aria,AFTERLIFE,262,06,n/a
KENSHO,Getting Started,KINETIKA,18,07,Goom Gum Remix
Cassian,Landa,AFTERLIFE,121,08,n/a
Marino Canal,Independence,AFTERLIFE,36,09,n/a
Bigfett,Continuum,ROSE AVENUE,17,10,n/a
Olivier Giacomotto,Hypnotized,n/a,n/a,11,n/a
Anyma,Samsara,AFTERLIFE,86,12,n/a
Cassian,Activate,ROSE AVENUE,55,13,n/a
Frank Ocean,Lost,ISLAND DEF JAM (UMG),11,14,Beswerda Remix
Cassian,Aran,AFTERLIFE,61,15,n/a
Moeaike,Indigenous,IMPRESSUM,4,16,n/a
Kevin de Vries & Mau P,Metro,AFTERLIFE,583,17,n/a
AVIRA,"Eyes Open, Mind Free",n/a,4,18,n/a
Jimi Jules,My City's On Fire,ROSE AVENUE,229,19,Anyma & Cassian Remix
Joris Voorn,This City,SPECTRUM MUSIC,46,20,Olivier Giacomotto Remix
Goom Gum,A Capella,AVTOOK,8,21,n/a
Hayden James & Cassian,On Your Own,FUTURE CLASSIC,152,22,n/a
Anyma & Cassian,Save Me,AFTERLIFE,135,23,n/a
Pryda,The Beginning,PRYDA,47,24,n/a
Cassian X ICEHOUSE,Great Southern Land,ROSE AVENUE,120,25,n/a
