Artista,Nome,Label,Playlists Plays,Track Position,Remix
Dom Dolla & Nelly Furtado,Eat Your Man,THREE SIX ZERO,268,01,n/a
Derek Muller & Ovidi Adlert,Beat The System,LA PERA,51,02,n/a
Calvin Harris & Ellie Goulding,Miracle,COLUMBIA (SONY),212,03,Mau P Remix
Swedish House Mafia & The Weeknd,Moth To A Flame,SSA (REPUBLIC),82,04,Moojo Remix
The Drill,The Drill,DESTINED,46,05,n/a
Tiga,Mind Dimension,WALL OF SOUND,73,w/,n/a
Gorillaz,New Gold,PARLOPHONE (WARNER MUSIC),562,06,Dom Dolla Remix
ESSEL,Lennon,TOOLROOM,211,07,n/a
Michael Bibi & KinAhau,Different Side,SOLID GROOVES,237,w/,n/a
AFROJACK,Pacha On Acid,SIZE,350,08,n/a
Who Da Funk,Shiny Disco Balls,SUBUSA,50,w/,n/a
Chris Lake,In The Yuma,BLACK BOOK,13,09,Martin Ikin Remix
Da Hool,Meet Her At The Love Parade,KOSMO,26,10,Dom Dolla & Torren Foot Remix
Faithless,Insomnia,ULTRA,1125,w/,n/a
Gorgon City,Voodoo,POSITIVA,36,11,Matt Guy Remix
Anyma,Running,AFTERLIFE,631,12,n/a
Supermode,Tell Me Why,AXTONE,733,13,MEDUZA Remix
Ben Hemsley,Please Playboy,TRICK,47,14,n/a
CamelPhat & Dom Dolla,Hood No Riff,n/a,14,15,n/a
Dom Dolla,Take It,SWEAT IT OUT!,433,w/,n/a
Chris Lake,Beggin',BLACK BOOK,219,16,n/a
Walker & Royce & Nala,Not About You,BLACK BOOK,118,17,n/a
Odd Mob,XTC,TINTED,179,18,n/a
Nick Coleman,Faces Of Meth,SUCKMUSIC,4,19,Holmes John Remix
Creeds,Push Up,FREE,26,20,AYYBO Edit
Chris Lake & Green Velvet,Deceiver,BLACK BOOK,157,21,n/a
Fergie DJ,Here Comes That Sound,ARMIND (ARMADA),45,22,n/a
Dom Dolla,San Frandisco,SWEAT IT OUT!,537,w/,n/a
Airwolf Paradise,Only Man,DIYNAMIC,137,23,n/a
Chris Lorenzo,Every Morning,SIXTY6MUSIC,126,24,n/a
John Summit,Where You Are,EXPERTS ONLY,141,25,Gorgon City Remix
Dom Dolla,You,SWEAT IT OUT!,56,26,n/a
RÜFÜS DU SOL,Make It Happen,ROSE AVENUE,88,27,Dom Dolla Remix
Dustin Zahn,Stranger (To Stability),REKIDS,298,28,Len Faki Podium Mix
Odd Mob,Give You,TINTED,138,29,n/a
Dom Dolla,Take It,SWEAT IT OUT!,433,w/,n/a
MK & Dom Dolla,Rhyme Dust,COLUMBIA,564,30,n/a
Øostil & Juan Hansen,Drown,AFTERLIFE,176,31,Massano Remix
Eric Prydz vs. Wankelmut & Emma Louise & MK,Pjanoo vs. My Head Is A Jungle,PRYDA / ULTRA,16,32,Hayden James Edit
Sean Paul & Odd Mob,Get Busy,BIG BEAT (ATLANTIC),18,33,Odd Mob Club Mix
Eli Brown,Make You Freak,DRUMCODE,88,34,n/a
Sonny Fodera & Dom Dolla,Moving Blind,SOLOTOKO,211,35,Gorgon City Remix
Piero Pirupa,We Don't Need,SPINNIN' DEEP,367,36,n/a
Luca Morris & Mozzy Rekorder,Gypsy Woman (La-Da-Dee),TERMINAL M,127,37,n/a
Azzecca,Tell That Boy,HIGHER GROUND (MAD DECENT),90,38,n/a
FRANCO BA & George Z,Sold My Soul,REPOPULATE MARS,42,39,n/a
Dom Dolla,Strangers,SWEAT IT OUT!,90,40,Tinlicker Remix
MEDUZA,Friends,AETERNA,216,41,n/a
Mau P,Your Mind Is Dirty,EXPERTS ONLY,240,42,n/a
Walker & Royce & Glass Petals & Elohim,Stop Time,RULES DON'T APPLY,112,43,n/a
Vintage Culture & Bhaskar & Meca,Tina,HIGHER GROUND (MAD DECENT),220,44,n/a
RÜFÜS DU SOL,On My Knees,ROSE AVENUE,283,45,Cassian Remix
Dom Dolla,San Frandisco,SWEAT IT OUT!,537,46,n/a
Oliver Schories,Devon,RITTER BUTZKE,168,47,Oliver Huntemann Remix
Jefferson Airplane,Somebody To Love,RCA (SONY),84,w/,n/a
Eli Brown,Diamonds On My Mind,POLYDOR,148,48,n/a
FOVOS,Lollipop,CLUBWRK,38,49,n/a
Dom Dolla,Miracle Maker,THREE SIX ZERO,721,50,n/a
Eli Brown,Be The One,POLYDOR,297,51,n/a
Dom Dolla,Take It,SWEAT IT OUT!,433,52,n/a
Walker & Royce,Feel The Vibe,DIRTYBIRD,33,53,n/a
Sidney Samson,Riverside,SNEAKERZ (SPINNIN'),300,54,n/a
Dom Dolla,Pump The Brakes,SWEAT IT OUT!,405,55,n/a
Green Velvet,Flash,RELIEF,139,56,Eats Everything Remix
Dom Dolla,Saving Up,THREE SIX ZERO,208,57,n/a
Dom Dolla & Go Freek,Define,SWEAT IT OUT!,76,58,n/a
MK & Dom Dolla,Rhyme Dust,COLUMBIA,78,59,Dimension Remix
Dom Dolla,Miracle Maker,FREE,21,60,Subsonic Bootleg
