Artista,Nome,Label,Playlists Plays,Track Position,Remix
Duke Dumont,n/a,n/a,n/a,01,n/a
Ruben Mandolini,Inred,SAVED,13,02,n/a
Red Rack'em,Wonky Bassline Disco Banger,CLASSIC MUSIC,29,03,Leopard Eats Luke Edit
Mike Gillenwater,Hungry 4 Ur Love,n/a,5,04,n/a
Opolopo,Stroke My Disco,Z RECORDS,3,05,n/a
Harry Romero,RUDE,SUBLIMINAL (ARMADA),41,06,n/a
Phil Fuldner,Bus Stop,MOTHER,12,07,n/a
n/a,n/a,n/a,n/a,08,n/a
Eats Everything,Big Discs,PETS,105,09,n/a
New Order,Blue Monday,FACTORY (WARNER MUSIC),265,10,n/a
Tom Trago,Use Me Again,VOYAGE DIRECT,71,11,Carl Craig Rework
Waze & Odyssey vs. Tommy Theo,Always,MINISTRY OF SOUND,164,12,n/a
Crackazat,Somewhere Else,LOCAL TALK,15,13,n/a
n/a,n/a,n/a,n/a,14,n/a
n/a,n/a,n/a,n/a,15,n/a
Paul Johnson,Follow This Beat,TRAX (PHUTURE TRAX),13,16,n/a
Booman,God's Got It,UNQUANTIZE,15,17,DJ Spen Remix
Andydy,Kiss,GO DEEVA,9,18,n/a
Romanthony,Let Me Show You Love,GLASGOW UNDERGROUND,12,19,Gerd Crooklyn Full Vox Mix
The Juan MacLean,Give Me Every Little Thing,CLASSIC MUSIC,14,20,Cajmere Mix
Disko Junkie,n/a,TASTY RECORDINGS,n/a,21,n/a
Honey Dijon,Catch The Beat,CLASSIC MUSIC,20,22,n/a
Geeeman,Fire Extinguisher,CLONE JACK FOR DAZE,4,23,n/a
n/a,n/a,n/a,n/a,24,n/a
n/a,n/a,n/a,n/a,25,n/a
Drastic Duo,Fucking With The Clap,ELROW MUSIC,4,26,n/a
Jesse Perez,What You Say Bout My Momma,EDIBLE,41,27,n/a
Jesse Perez,Sheneneh,DFTD (DEFECTED),25,28,n/a
Jesse Perez,Fake,MR. NICE GUY,101,29,n/a
n/a,n/a,n/a,n/a,30,n/a
SIS,Nesrib,CÉCILLE,8,31,n/a
Celsius,Incoming,MADTECH,51,32,n/a
Ben Sterling,Dimensions,DIFFERENT (PIAS),139,33,n/a
DJ Hyperactive,n/a,H-PRODUCTIONS,n/a,34,n/a
Claude VonStroke,Slink,DIRTYBIRD,44,35,n/a
Vitalic,Ooey,CORRESPONDANT,47,36,n/a
Cousn,Juggle,SELF RELEASED,8,37,n/a
Ruben Mandolini,Abduction,SNATCH!,38,38,n/a
Todd Osborn,Put Your Weight On It,RUNNING BACK,7,39,n/a
n/a,n/a,n/a,n/a,40,n/a
Butch,No Worries,CÉCILLE,38,41,n/a
n/a,n/a,n/a,n/a,42,n/a
Format:B,Okeey Yaaah,FORMATIK,63,43,n/a
Crystal Waters,Gypsy Woman (She's Homeless),VIRGIN,334,44,n/a
PJU & Earl Grey,Call Me Up,EXPLOITED GHETTO,3,45,n/a
Duke Dumont,Mumble Man,TURBO,52,46,n/a
Cassy,Beat Your Feet,KWENCH,16,47,n/a
ZDS & Tai Davis,Knucklehead,DIRTYBIRD,23,48,n/a
Kill Frenzy,XVI,DIRTYBIRD,5,49,n/a
Junior Jack,Thrill Me,PIAS,294,50,n/a
Harry Romero,Talkin' Jack,KNEE DEEP IN SOUND,20,51,n/a
Tiger Stripes,Jack My Yum,HOT CREATIONS,37,52,n/a
Gene Farris,Move Your Body,RELIEF,57,53,n/a
Marco Lys & Lee Cabrera,Reap,SINK OR SWIM,223,54,n/a
Chambray,Makin' Me,UTTU,16,55,n/a
Jasper James,Rise,NO ART,15,56,n/a
Waze & Odyssey,"Move It, Move It",UTTU,26,57,n/a
Detlef,Deep Dip,RELIEF,172,58,n/a
Gettoblaster,Get That Cash,GUESTHOUSE,5,59,n/a
Arkoss,Lowdown,CUFF,6,60,n/a
Start The Party,I Feel Love,GLASGOW UNDERGROUND,43,61,Kevin McKay Remix
Catz 'N Dogz,Now,DIYNAMIC,34,62,n/a
Duke Dumont,Slow Dance,TURBO,36,63,n/a
Duke Dumont & Channel Tres,Alter Ego,BLASE BOYS CLUB (VIRGIN EMI),124,64,n/a
Rich Wakley,Work For Love,SOLA,12,65,n/a
ANOTR,Strobe,DFTD (DEFECTED),93,66,n/a
Dam Swindle,Call Of The Wild,HEIST,19,67,n/a
Waze & Odyssey,Dia De Los Muertos,PETFOOD,14,68,n/a
Duke Dumont,n/a,n/a,n/a,69,n/a
Skream & Tom Demac,EMF,HOT CREATIONS,20,70,n/a
Skream & Jackmaster,The Attention Deficit Track,CIRCOLOCO,97,71,n/a
Andrea Oliva,Locomotive,TRICK,8,72,n/a
Jamie Jones & Darius Syrossian,Rushing,DEFECTED,112,73,n/a
William Kiss,Like This,BUSH,110,74,n/a
n/a,n/a,n/a,n/a,75,n/a
Bontan,Stutterman,CLUB BAD,41,76,n/a
Green Velvet,Destination Unknown,RELIEF,49,77,Carl Craig C2 Detroit Chicago Unity Dub
Chambray,Those Jawns,ULTRAMAJIC (HOTFLUSH),8,78,n/a
Jerome Robins & RanchaTek,This Beat Is,JUNGLE FUNK,13,79,n/a
BLR,Lipstick,EXPERTS ONLY,181,80,n/a
Duke Dumont & Nathan Nicholson,Losing Control,EMI,95,81,n/a
Ramon Tapia,P.A.R.T.Y.,SAY WHAT?,15,82,n/a
Credit 00,R You Ready 2 Jack,UNCANNY VALLEY,6,83,n/a
Green Velvet & Harvard Bass,Lazer Beams,RELIEF,345,84,n/a
Pirupa & Leon,Now Walk,ELROW MUSIC,57,85,n/a
Radio Slave,Wait A Minute,REKIDS,41,86,Dixon Extension
Skin On Skin,Burn Dem Bridges,FFRR (PARLOPHONE),5,87,Duke Dumont Remix
Duke Dumont,n/a,n/a,n/a,88,n/a
n/a,n/a,n/a,n/a,89,n/a
Melé,Scouse Afrika,EDIBLE,65,90,n/a
Duke Dumont,Runway,BLASE BOYS CLUB (VIRGIN EMI),174,91,n/a
Audion,Mouth To Mouth,SPECTRAL SOUND,28,92,Boys Noize Remix
Namik & 96 Vibe,Tribal Break,KȮLMĒ,23,93,n/a
BOg & 19:26,Underwater,ATLANT REC,20,94,Massano Remix
Duke Dumont,Love Song,VIRGIN EMI (UMG),38,95,Will Clarke Remix
Duke Dumont,n/a,n/a,n/a,96,n/a
Danny Avila,Notre Dame,1605,42,97,n/a
Duke Dumont,"Red Light, Green Light",BLASE BOYS CLUB (VIRGIN EMI),371,98,n/a
Duke Dumont,Obey,BLASE BOYS CLUB (VIRGIN EMI),24,99,n/a
Duke Dumont,The Power,BLASE BOYS CLUB (VIRGIN EMI),288,100,n/a
Duke Dumont,The Power,BLASE BOYS CLUB (VIRGIN EMI),288,w/,n/a
Duke Dumont,Need U (100%),MINISTRY OF SOUND,404,101,n/a
Ivory,Feelin',INNERVISIONS,69,102,n/a
Greco (NYC),Be,RAWSOME,168,103,KlangKuenstler Remix
Kyle Kinch,Siri Stop Playin',REALM,19,104,n/a
Duke Dumont,Therapy,VIRGIN EMI (UMG),163,105,n/a
Duke Dumont,Won't Look Back,BLASE BOYS CLUB (VIRGIN EMI),272,106,n/a
Gorgon City,Primal Call,REALM,138,107,n/a
Duke Dumont,The Chant,EMI,161,108,n/a
Øostil & Juan Hansen,Drown,AFTERLIFE,176,109,Massano Remix
Panteros666,Clear,BROMANCE,16,110,Chambray Remix
Fred again.. & Swedish House Mafia,Turn On The Lights Again..,ATLANTIC (WARNER MUSIC),860,111,n/a
Duke Dumont,The Giver,TURBO,227,112,n/a
Duke Dumont & RY X,Let Me Go,VIRGIN EMI (UMG),18,113,n/a
Duke Dumont,Love Song,VIRGIN EMI (UMG),55,114,n/a
Duke Dumont,Together,BLASE BOYS CLUB (VIRGIN EMI),12,115,n/a
Duke Dumont,I Got U,VIRGIN EMI (UMG),374,116,n/a
Duke Dumont,Ocean Drive,BLASE BOYS CLUB (VIRGIN EMI),28,117,n/a
