Artista,Nome,Label,Playlists Plays,Track Position,Remix
n/a,n/a,n/a,n/a,01,n/a
Kr!z,Surge,n/a,4,02,n/a
Decøder,Emotional Intelligence,FLOAT,1,03,n/a
Pink Concrete,Down To Dusk,AMPHIBIAN,1,04,n/a
Altinbas & Cirkle,Cynical Moves,VOLTAGE RECORDS,2,05,n/a
TWR72,Toxic,FLOAT,7,06,n/a
Pfirter,Behaviour,PARALELO,7,07,n/a
n/a,n/a,n/a,n/a,08,n/a
Rebel Youth,What Is Soul?,SYSTEMATIC,38,09,Joris Voorn Remix
ki dake,Fully,BETONSTRAND,2,10,n/a
Altinbas,Elements,RX,2,11,n/a
Sven Väth,Nyx,COCOON,15,12,Planetary Assault Systems Remix
Oscar Escapa,Cricket,PLANET RHYTHM,14,13,n/a
Zisko,We Are Not We Think We Are,E-HRZN,3,14,n/a
De Feo & Gianfranco Dimilto & Mikel SMR,Orbita,SMR UNDERGROUND,1,15,Alex Bau Repaint
Plastikman,Spastik,PLUS 8,261,w/,n/a
Childov,Lost,JAM,4,16,n/a
Franco Rossi,Exha,ROOM TRAX,1,17,n/a
n/a,n/a,n/a,n/a,18,n/a
Slam,Somnambulist,SOMA,7,19,n/a
Joris Voorn,I Ran The Zoo,n/a,23,20,n/a
Charlotte de Witte,Power Of Thought,KNTXT,21,21,n/a
VIRSION aka Joris Voorn,Ripper,SPECTRUM MUSIC,38,22,n/a
DJ Dextro,Inercia,KORPUS 9,2,23,n/a
Blaze,My Beat,ITH,108,w/,n/a
Michael Klein,Shizo,VIRGO,4,24,n/a
Alex Bau,Vengeance,KD RAW,3,25,n/a
Eats Everything,Best,EI8HT,12,26,Confidential Recipe Raw Remix
Mik&Ale,Hydrodynamics,KNEADED PAINS,4,27,n/a
Pfirter,The Dub Track,FIGURE,70,28,Len Faki Remix
Slam,Exhibit 1,SOMA,4,29,n/a
Ketch & Vidrik,Erogenia,FLOAT,2,30,n/a
DJ Misjah & DJ Tim,Access,ARMADA,102,31,Joris Voorn Remix
Adoo,After Six Years,TRONIC,14,32,n/a
Dennis Siemion,First Kiss,SET ABOUT,1,33,n/a
Edvvin,It's Gotta Be Funky,PETS,4,34,n/a
Andy Bsk,Coma,TRANSFIGURATION,2,35,n/a
Eelke Kleijn,Transmission,DAYS LIKE NIGHTS (ARMADA),423,36,Joris Voorn Remix
ATIA,n/a,n/a,n/a,37,n/a
Charlotte de Witte,High Street,KNTXT,36,38,Astrix Remix
Egbert,NRG,SPANNUNG,39,39,n/a
Slam,Activate,SOMA,24,40,n/a
A.Morgan,Do It,AMPHIBIAN,3,41,n/a
Jose Bonetto,Magnetic Fields,SPANNUNG,21,42,n/a
Mha Iri,Have A Nice Trip,FILTH ON ACID,8,43,n/a
Adoo,After Seven Years,TRONIC,8,44,n/a
Antic Soul,Astoria,ENTOURAGE CONCEPT,1,45,n/a
Flug,The Cube,RSPX (REKIDS),6,46,n/a
Hatewax,Return To The Past,PLANET RHYTHM,5,47,n/a
Jacidorex & Popof,Midnight Express,UNFACED,2,48,n/a
n/a,n/a,n/a,n/a,49,n/a
Gaga & Mateo!,Legends,EXTIMA,6,50,Zafer Atabey Remix
Amazingblaze,Can't Stop,KNTXT,49,51,n/a
Shlomi Aber,That's The Way I Speak,CLR,44,52,n/a
n/a,n/a,n/a,n/a,53,n/a
n/a,n/a,n/a,n/a,54,n/a
Goom Gum,Set & Setting,TRUESOUL,39,55,n/a
AVIRA,Hot Tub Time Machine,SPECTRUM MUSIC,17,56,n/a
Mha Iri,Good Energy,FILTH ON ACID,17,57,n/a
Michael Klein,Shizo,VIRGO,3,58,Industrialyzer Remix
Celeda,The Underground,STAR 69,134,w/,n/a
Richie Hawtin,Minus/Orange 1,MINUS,35,59,n/a
n/a,n/a,n/a,n/a,60,n/a
Jacidorex,Midnight Demons,NEOACID,4,61,n/a
Joris Voorn,You & I,SPECTRUM MUSIC,85,62,n/a
