Artista,Nome,Label,Playlists Plays,Track Position,Remix
Lost Frequencies,Reality,THE BEARDED MAN (ARMADA),351,01,n/a
Skrillex & Fred again.. & Flowdan,Rumble,FREE,109,02,Pickle Remix
Mike Williams & Tim Hox,The Blonde One,SPINNIN',131,03,n/a
Lost Frequencies & Tom Gregory,Dive,EPIC AMSTERDAM,13,04,Lost Frequencies Deluxe Mix
Angèle,Flou,UMG,44,05,Lost Frequencies Remix
Lost Frequencies & Mathieu Koss,Don't Leave Me Now,FOUND FREQUENCIES,85,w/,n/a
Isak Danielson,Broken,EPIC AMSTERDAM,44,06,Lost Frequencies Cut
n/a,n/a,n/a,n/a,07,n/a
Kevin de Vries & Mau P,Metro,AFTERLIFE,579,08,n/a
Lost Frequencies & Elley Duhé & X Ambassadors,Back To You,EPIC AMSTERDAM,6,w/,n/a
Lost Frequencies,Head Down,SONY,24,09,n/a
Lost Frequencies & Declan J Donovan,Just Wanna Know,LOST & CIE,10,10,n/a
Lost Frequencies & Declan J Donovan,Just Wanna Know,LOST & CIE,10,w/,n/a
Lost Frequencies,All Or Nothing,ARMADA,43,11,Lost Frequencies Deluxe 2.0 Mix
Lost Frequencies,The Feeling,EPIC AMSTERDAM,80,12,n/a
Lost Frequencies,The Feeling,EPIC AMSTERDAM,34,w/,Lost Frequencies & Andromedik Deluxe Mix
Rusko,Everyday,MAD DECENT,205,13,Netsky Remix
Sub Focus & Dimension,Ready To Fly,EMI,199,14,n/a
LSD,Thunderclouds,COLUMBIA (SONY),129,15,Lost Frequencies Remix
Pritam & Arijit Singh,Kesariya,SONY,8,16,Lost Frequencies Remix
Orelsan,Jour Meilleur,EPIC AMSTERDAM,19,17,Lost Frequencies Edit
Dido,Thank You,n/a,8,18,Odymel Remix
Lost Frequencies,Chemical High,EPIC AMSTERDAM,15,19,Lost Frequencies Deluxe Mix
Lost Frequencies,Where Are You Now,EPIC AMSTERDAM,97,20,n/a
n/a,n/a,n/a,n/a,21,n/a
Lost Frequencies & Zonderling & Kelvin Jones,Love To Go,FOUND FREQUENCIES,62,22,Lost Frequencies Deluxe Mix
Lost Frequencies,Rise,EPIC AMSTERDAM,29,23,Lost Frequencies Deluxe Mix
Prospa,WANT NEED LOVE,POLYDOR,141,24,n/a
Prospa,WANT NEED LOVE,POLYDOR,43,w/,Dimension Remix
Lost Frequencies,All Stand Together,EPIC AMSTERDAM,16,25,n/a
Lost Frequencies,Are You With Me,THE BEARDED MAN (ARMADA),12,26,n/a
Ellie Goulding & Blackbear,Worry About Me,POLYDOR,22,w/,Lost Frequencies Remix
