Artista,Nome,Label,Playlists Plays,Track Position,Remix
Klaas & MATTN,The Logical Song,SMASH THE HOUSE,42,01,Dimitri Vegas & Like Mike Remix
MATTN & Klaas & Dino Warriors,Somebody To Love,SMASH THE HOUSE,20,02,n/a
Pitbull,Put Ya Fuckin Hands Up,POLYDOR,1373,w/,n/a
Maurice West & SaberZ,Rhythm Of The Night,MAINSTAGE (ARMADA),370,03,n/a
Wolfpack & JAXX & VEGA & DJ Junior,Curura,SMASH THE HOUSE,98,w/,n/a
MEDUZA,Tell It To My Heart,ISLAND (UMG),82,04,Tiësto Remix
Dimitri Vegas & Like Mike vs. Ummet Ozcan,The Hum,SMASH THE HOUSE,9,w/,n/a
Felguk & INGEK,Nothing But Love,FUTURE HOUSE MUSIC,77,05,n/a
Noizu & Westend,Push To Start,INSOMNIAC,325,06,n/a
Oxia,Domino,SAPIENS,199,07,David Guetta Remix
Tinlicker X Robert Miles,Children,SMILAX,678,08,n/a
Daft Punk,One More Time,DAFT LIFE,108,w/,n/a
Bingo Players,Cry (Just A Little),HYSTERIA,274,09,n/a
John Summit,Where You Are,EXPERTS ONLY,685,10,n/a
MEDUZA x Eli & Fur,Pegasus,ANJUNADEEP,209,11,n/a
R3HAB & Amba Shepherd,Smells Like Teen Spirit,CYB3RPVNK,128,12,n/a
David Guetta & MORTEN,Together,FUTURE RAVE,76,w/,n/a
David Guetta vs. Benny Benassi,Satisfaction,SPINNIN',634,13,n/a
Aretha Franklin,A Deeper Love,SONY BMG,111,14,n/a
HI-LO,Kronos,OCTOPUS,237,w/,n/a
Indeep,Last Night A Dj Saved My Life,UNIDISC,89,w/,n/a
MORTEN,No Good,MUSICAL FREEDOM,287,15,n/a
David Guetta,Love Is Gone,FMIF,302,16,n/a
Darude,Sandstorm,NEO RECORDS,13,w/,Thomas Anthony Remix
Sam Smith & Kim Petras vs. Mau P,n/a,n/a,n/a,17,n/a
TUJAMO & Antoine Delvig,Vida Loca,SPINNIN',93,18,n/a
Coi Leray,Players,UPTOWN,187,19,David Guetta Remix
Tiësto,Baila Conmigo,MUSICAL FREEDOM,233,20,n/a
3 Are Legend & Jaxx & Vega & TUJAMO,Pump It Up,SMASH THE HOUSE,152,21,n/a
Lady GaGa vs. Fred again.. & Swedish House Mafia,Bloody Mary Turn On The Lights Again,ATLANTIC / INTERSCOPE,39,22,DJs From Mars Bootleg
Bingo Players & Felguk & Fafaq,Devotion,MUSICAL FREEDOM,95,23,Will Sparks 2020 Remix
David Guetta,I'm Good (Blue),WARNER UK,699,24,n/a
Tiësto & Charli XCX vs. Yeah Yeah Yeahs,Hot In It vs. Heads Will Roll,DGC / ATLANTIC,15,25,DJs From Mars Bootleg
David Guetta,Titanium,RHINO ENTERTAINMENT (WARNER MUSIC),563,26,David Guetta & MORTEN Future Rave Remix
Soulja Boy Tell 'Em,Crank That (Soulja Boy),INTERSCOPE,294,27,n/a
Bingo Players,Rattle,HYSTERIA,1121,w/,n/a
MEDUZA & James Carter vs. Calvin Harris & Alesso,Bad Memories Under Control,COLUMBIA / ISLAND,15,28,DJs From Mars & Tommaso Replica Bootleg
Alice Deejay,Better Off Alone,VIOLENT,14,29,EXODUS & Eric Mendosa Remix
Bomfunk MC's,Freestyler,SONY,162,30,n/a
Dimitri VEGAs & Like Mike vs. JAXX & VEGA,n/a,n/a,n/a,w/,n/a
Dimitri Vegas & Like Mike vs. Ummet Ozcan,The Hum,SMASH THE HOUSE,9,w/,n/a
Robert Miles & Tinlicker vs. SAINt JHN,Children vs. Roses,B1 / SMILAX,65,31,David Guetta & DJs From Mars Mashup
MATTN & Futuristic Polar Bears vs. Push & Klaas,Café Del Mar,SMASH THE HOUSE,5,w/,n/a
Shouse,Love Tonight,HELL BEACH,1031,w/,n/a
Gala,Freed From Desire,ZYX,35,32,LNY TNZ Edit
