Artista,Nome,Label,Playlists Plays,Track Position,Remix
n/a,n/a,n/a,n/a,01,n/a
Riton Presents Gucci Soundsystem & DJ Funk & Vula,Fuck Me Right,HOT CREATIONS,6,02,n/a
Floorplan,"Baby, Baby",M-PLANT,72,03,n/a
Mike Dunn pres. MD X-Spress,Git Cho House On,DEFECTED,n/a,04,n/a
Ron Costa,Pisah,SOLA,21,05,n/a
Martin Buttrich,Hunter,COCOON,4,06,Roman Flügel Remix
Sorley,Little Secrets,CUTTIN' HEADZ,48,07,Jansons Remix
Allen (IT) & Filix,Dusty Palace,DIGITAL TRAFFIK LTD.,4,08,n/a
n/a,n/a,n/a,n/a,09,n/a
DJ Haus,Let My Brain Go,UTTU,20,10,Len Faki Remix
n/a,n/a,n/a,n/a,11,n/a
Randomer,Stupid Things I Do,CLONE BASEMENT SERIES,39,12,n/a
Lou Gorbea & Jose Burgos,Madre,NERVOUS,10,13,Luciano Remix
n/a,n/a,n/a,n/a,14,n/a
DJ Hyperactive,Wide Open,FIGURE,211,15,Len Faki DJ Edit
Awdha,This Fvcking Groove All Over My Head,ARTS,4,16,n/a
n/a,n/a,n/a,n/a,17,n/a
n/a,n/a,n/a,n/a,18,n/a
Mauro MBS,Philosophy Of Dance,n/a,8,w/,n/a
n/a,n/a,n/a,n/a,19,n/a
Mochakk,Jealous,CIRCOLOCO,416,20,n/a
Raxon,The Fall,DSK,41,21,n/a
Gabriel Ananda,Doppelwhipper,BASMATI,56,22,n/a
n/a,n/a,n/a,n/a,23,n/a
n/a,n/a,n/a,n/a,24,n/a
Tartan,Sumo Shader,TARTAN,5,25,n/a
Mochakk,Da Fonk,NERVOUS,137,26,n/a
Spencer Brown,Windows 95 On Acid,MAU5TRAP,109,27,n/a
DJ Glen & ZAC,Reverterio,PYRAMID WAVES,3,28,n/a
Audion,Mouth To Mouth,SPECTRAL SOUND,155,29,n/a
Efeitos BR,n/a,n/a,n/a,30,n/a
