Artista,Nome,Label,Playlists Plays,Track Position,Remix
PARISI x Sebastian Ingrosso x Steve Angello,U Ok?,FFRR,363,01,n/a
Jose De Mara,Where The Party People At?,ARCADIA,60,02,n/a
James Haskell,Reachin',TOOLROOM TRAX,59,03,n/a
Fred again.. & Skrillex & Four Tet,Baby Again..,OWSLA,478,04,n/a
Shiba San,Hold Me,DIYNAMIC,46,05,n/a
Swedish House Mafia & Knife Party,Antidote,VIRGIN,64,06,Swedish House Mafia 2022 Rework
Swedish House Mafia,Redlight,SSA (REPUBLIC),518,07,n/a
Corey James,n/a,n/a,n/a,08,n/a
Thomas Newson & Novak,Do My Thing,SIZE,85,09,n/a
Malaa,How It Is,ILLEGAL,162,10,n/a
Wheats,Work,SAVED,47,11,n/a
Booka Shade vs. Ivan Gough & Feenixpawl & Axwell,Love Inc vs. In My Mind,AXTONE / BLAUFIELD,79,w/,Axwell Mashup
n/a,n/a,n/a,n/a,12,n/a
FISHER,Atmosphere,CATCH & RELEASE,495,13,n/a
Biscits,House All The Time,THRIVE MUSIC,201,14,n/a
Steve Angello & Laidback Luke & Rowetta,Be vs. Show Me Love vs. Knas,MIXMASH / SIZE,78,15,Swedish House Mafia Mashup
Steve Angello & Wh0,What You Need,SIZE,320,16,n/a
Kryder,Romani,KRYTERIA (BLACK HOLE),221,17,n/a
Rafael Cerato,Step On The Lead,DIYNAMIC,31,18,n/a
n/a,n/a,n/a,n/a,19,n/a
Celeda,The Underground,STAR 69,134,w/,n/a
Swedish House Mafia,Miami 2 Ibiza,VIRGIN,73,20,Swedish House Mafia 2022 Rework
Axwell & Sebastian Ingrosso & Steve Angello & Laidback Luke,Leave The World Behind,AXTONE,823,21,n/a
Steve Angello & Sunnery James & Ryan Marciano & Magnificence vs. Gala,n/a,n/a,n/a,22,n/a
Steve Angello,n/a,n/a,n/a,23,n/a
Disfreq,Essa Mina,DIYNAMIC,88,24,n/a
Swedish House Mafia,n/a,n/a,n/a,25,n/a
Innersphere aka Shinedoe,Phunk,INTACTO,25,26,Swedish House Mafia 2022 Rework
Duke Dumont,Love Song,VIRGIN EMI (UMG),38,w/,Will Clarke Remix
MEDUZA,Friends,AETERNA,215,27,n/a
Swedish House Mafia,Omen ID,SSA (REPUBLIC),31,28,n/a
Mark Knight & Green Velvet & René Amesz,Live Stream,TOOLROOM,102,29,Noizu Remix
ID,n/a,n/a,n/a,30,n/a
Eelke Kleijn,Transmission,DAYS LIKE NIGHTS (ARMADA),422,31,Joris Voorn Remix
Tinlicker X Robert Miles,Children,SMILAX,678,32,n/a
Kevin de Vries & Mau P,Metro,AFTERLIFE,581,33,n/a
Allan Piziano & Fabian Hernandez DFH & Mathieu Ruz,Tamborero,HOTL,26,34,n/a
Nari & Milani,Atom,n/a,7,35,Öwnboss & Scorsi Remix
Steve Angello,Rejoice,SIZE,13,36,Still Young Remix
Steve Angello,Me,SIZE,148,37,n/a
Swedish House Mafia vs. Eurythmics & Steve Angello vs. Pharrell Williams,One (Your Name) vs. Sweet Dreams,RCA / POLYDOR / ASTRALWERKS,29,38,Swedish House Mafia Mashup
Swedish House Mafia,Don't Go Mad,SSA (REPUBLIC),101,39,n/a
Fred again.. & Swedish House Mafia,Turn On The Lights Again..,ATLANTIC (WARNER MUSIC),860,40,n/a
Energy 52,Cafe Del Mar,GRAND CASINO,71,w/,Michael Woods Out Of Office Remix
Corey James & HIISAK,The Underground (House of God),SIZE,206,41,Steve Angello Edit
Fletcher Kerr & 2CD,Don't Stop,TOOLROOM TRAX,53,42,n/a
Pryda,Of Me,PRYDA,84,43,n/a
Steve Angello,Remember,SIZE,n/a,44,n/a
Steve Angello & AN21,n/a,n/a,n/a,45,n/a
London Grammar,Nightcall,MINISTRY OF SOUND,5,w/,n/a
Steve Angello & Saturday & Monday,The Ocean,SIZE,55,46,AN21 Remix
Swedish House Mafia,Greyhound,EMI,1349,47,n/a
Queen,We Are The Champions,EMI UK,216,w/,n/a
Dimitri Vangelis & Wyman X Steve Angello,Payback,COLUMBIA,1137,48,n/a
Still Young & Steve Angello,All About Love,SIZE,24,49,n/a
Start The Party,I Feel Love,GLASGOW UNDERGROUND,43,50,Kevin McKay Remix
Grum,Shout,ANJUNABEATS,251,51,n/a
Supermode & MEDUZA vs. Swedish House Mafia & The Weeknd,Tell Me Why vs. Moth To A Flame,SSA / AXTONE,13,52,Swedish House Mafia Mashup
Swedish House Mafia vs. John Martin & Connie Constance vs. Fred Again.. & Solomun & Future,Don't You Worry Child vs. Heaven Takes You Home vs. Turn On The Lights Again..,SSA / ATLANTIC / EMI UK,9,53,Swedish House Mafia Mashup
Hans Zimmer vs. Sebastian Ingrosso & Tommy Trash & John Martin vs. Green Velvet & Nicky Romero vs. The Weeknd & Daft Punk,Cornfield Chase vs. Reload vs. Flash vs. Starboy,RELIEF / REFUNE / WATERTOWER / XO,46,54,Axwell Λ Ingrosso Mashup
Swedish House Mafia & The Weeknd vs. John Martin vs. Fred again.. & Future vs. Sebastian Ingrosso & Alesso,Moth To A Flame vs. Save The World vs. Turn On The Lights Again.. vs. Calling,REFUNE / EMI / SSA / ATLANTIC,13,55,Swedish House Mafia Mashup
Swedish House Mafia,See The Light,SSA (REPUBLIC),108,56,n/a
Swedish House Mafia,Ray Of Solar,SSA (REPUBLIC),204,57,n/a
Trance Wax,Rhythm Of The Night,ARMADA,33,58,n/a
