Artista,Nome,Label,Playlists Plays,Track Position,Remix
Kevin de Vries & Y do I,n/a,n/a,n/a,01,n/a
Animal Picnic & 19:26,XX,SIAMESE,84,02,n/a
Charlotte Gainsbourg,Deadly Valentine,BECAUSE MUSIC,n/a,03,n/a
19:26 & Yubik,Mental Obsession,AFTERLIFE,11,04,n/a
KAS:ST & Adam Sellouk,n/a,n/a,n/a,05,n/a
n/a,n/a,n/a,n/a,06,n/a
Chris Avantgarde,Perception,AFTERLIFE,56,07,n/a
David Lindmer,n/a,n/a,n/a,08,n/a
Post Malone,Hollywood's Bleeding,REPUBLIC (UMG),n/a,09,n/a
n/a,n/a,n/a,n/a,10,n/a
Massano,Shutdown,AFTERLIFE,57,11,n/a
n/a,n/a,n/a,n/a,12,n/a
Kevin de Vries & Mau P,Metro,AFTERLIFE,581,13,n/a
Linkin Park,In The End,WARNER BROS.,262,14,n/a
Goom Gum,Don't Wake Up,n/a,3,15,n/a
n/a,n/a,n/a,n/a,16,n/a
Anyma,n/a,n/a,n/a,17,n/a
iiO,Rapture,UMG,n/a,18,n/a
Empire Of The Sun,We Are The People,n/a,45,19,Adam Sellouk Remix
Massano,Odyssey,AFTERLIFE,26,20,n/a
Argy & Omnya,Aria,AFTERLIFE,260,21,n/a
Braev,n/a,n/a,n/a,22,n/a
