Artista,Nome,Label,Playlists Plays,Track Position,Remix
Carnage,Toca,ULTRA,607,01,n/a
Timmy Trumpet & Lady Bee,Trumpets,HUSSLE,59,02,n/a
Hardwell & Dr Phunk,Here Once Again,REVEALED,150,w/,n/a
W&W & Timmy Trumpet & Will Sparks,Tricky Tricky,RAVE CULTURE,150,03,n/a
Mau P,Drugs From Amsterdam,FREE,19,w/,MaXtreme Bootleg
Timmy Trumpet & Henrique Camacho & SMVGGLERS,Oh Fortuna (Carmina Burana),NITRON (SONY),19,04,n/a
Henrique Camacho & Fatality,Sevilla,PURPLE HAZE,28,w/,n/a
OneRepublic,I Ain't Worried,MOSLEY (INTERSCOPE),26,w/,Restricted Edit
TUJAMO,Drop That Low (When I Dip),SPINNIN',53,w/,Timmy Trumpet Remix
Scott Schreer,Nfl On Fox Theme,FREE,30,05,Stravy Bootleg
Fatboy Slim,"Right Here, Right Now",SKINT,373,w/,n/a
Peggy Gou,(It Goes Like) Nanana,XL,672,06,n/a
Faithless,Insomnia,FREE,32,w/,Restricted & NIKSTER Edit
Timmy Trumpet & Dimatik,Punjabi,DHARMA (SPINNIN'),120,07,n/a
Timmy Trumpet & Dimatik,Punjabi,DHARMA (SPINNIN'),120,w/,n/a
Timmy Trumpet & Azteck & Darren Styles,Dance Tonight,SMASH THE HOUSE,99,08,n/a
Masked Wolf,Astronaut In The Ocean,ELEKTRA,23,09,Timmy Trumpet Remix
Macklemore & Ryan Lewis,Can't Hold Us,MACKLEMORE,36,10,HBz Remix
Dimitri Vegas & Like Mike vs. Ummet Ozcan,The Hum,SMASH THE HOUSE,142,w/,Andres Fresko & Skellism Remix
Eminem,Lose Yourself,SHADY (INTERSCOPE),225,11,n/a
Felguk,Galaxy Traveller,SPINTWIST,56,w/,Neelix Rip Off Remix
Timmy Trumpet,Freaks,HUSSLE,44,w/,n/a
Knock2,dashstar*,NIGHT MODE,262,w/,n/a
Eliminate,Weeble Wobble,DISCIPLE,185,w/,n/a
Drake & 21 Savage,Rich Flex,FREE,19,12,BeatBreaker VIP Remix
Armin van Buuren & Timmy Trumpet,Anita,ARMADA,112,13,n/a
Steve Aoki & Timmy Trumpet & DJ Aligator,The Whistle,DIM MAK,81,w/,n/a
Bruno Mars vs. Alan Walker & Sabrina Carpenter & Farruko & Da Tweekaz,On My Way To The Moon,MER / ELEKTRA,43,14,Da Tweekaz Mashup
MAKJ & Timmy Trumpet,Party Till We Die,SPINNIN',36,15,Dr Phunk Remix
Just_us,Forever Alive,SPINNIN',113,w/,n/a
Timmy Trumpet & Krunk! vs. Lockdown vs. Broken Minds & AniMe,Al Pacino vs. Freakshow vs. Absolute Power,SPINNIN' / DOGFIGHT / SINPHONY,27,16,Timmy Trumpet Mashup
Chardy & Kronic,S.W.A.T. Team,HUSSLE,695,w/,n/a
Timmy Trumpet & Vini Vici & Sub Zero Project,The Race,TOMORROWLAND MUSIC,78,17,n/a
Dimitri Vegas & Like Mike vs. Timmy Trumpet,Without Me,SMASH THE HOUSE,38,18,n/a
Dimitri Vegas & Like Mike vs. Nicky Romero,Everybody Clap,PROTOCOL,167,w/,n/a
Dimitri Vegas & Like Mike & Martin Garrix,Tremor (Sensation 2014 Anthem),SPINNIN',267,w/,"Dimitri Vegas & Like Mike & Martin Garrix 3, 2, 1 Go Acappella"
Oliver Tree & Robin Schulz,Miss You,ATLANTIC (WARNER MUSIC),18,19,The Elusive Hardstyle Remix
Alfred Newman,20th Century Fox Fanfare,20TH CENTURY,77,20,n/a
MAKJ & Lil Jon,Let's Get F*cked Up,FREE,180,w/,Zatox Hardstyle Bootleg
Zombie Nation,Kernkraft 400,FREE,78,21,Alex Prospect & Jakka-B Flip
Contiez,Trumpsta,PHETHOUSE,35,w/,n/a
Capital Cities,Safe And Sound,CAPITOL (EMI),28,w/,Parametricz Hardstyle Bootleg
Sebastian Ingrosso & Tommy Trash vs. John Summit & Hayla vs. Hans Zimmer,Reload vs. Where You Are vs. Interstellar,REFUNE / WATERTOWER / EXPERTS ONLY,29,22,MashBit Mashup
The Ramones,Blitzkrieg Bop,SIRE,26,23,n/a
Öwnboss & Sevek,Move Your Body,MUSICAL FREEDOM,17,w/,Hedex VIP
The Elite,Royals,DWX COPYRIGHT FREE (DIRTY WORKZ),97,24,n/a
Parla & Pardoux,Liberté,BERK,48,25,Sefa & Outsiders Remix
Blasterjaxx & Timmy Trumpet,Narco,MAXXIMIZE (SPINNIN'),289,26,n/a
Blasterjaxx & Timmy Trumpet,Narco,MAXXIMIZE (SPINNIN'),20,w/,D-Stroyer Remix
Deorro,Five Hours,LE7ELS,505,27,n/a
Timmy Trumpet,Freaks,HUSSLE,162,w/,n/a
Timmy Trumpet,Freaks,HUSSLE,266,w/,n/a
Timmy Trumpet & Dimatik & Overdrive,Mosh Pit,SINPHONY (SPINNIN'),37,28,n/a
Mariah Carey,All I Want For Christmas Is You,REPRISE,22,29,Dr. Rude & 2nd Bass Hardstyle Bootleg
Dimitri Vegas & Like Mike vs. Timmy Trumpet & Brennan Heart,Sweet Caroline,SMASH THE HOUSE,60,30,n/a
Ummet Ozcan,Raise Your Hands,SPINNIN',167,w/,n/a
