Artista,Nome,Label,Playlists Plays,Track Position,Remix
Rebūke,Along Came Polly,HOT CREATIONS,33,01,Konstantin Sibold Remix
Mila Journée,Three,DIYNAMIC,13,02,n/a
Sam Shure,Maybe,TAU,5,03,n/a
Ticon,1987,IBOGA,12,04,n/a
Vintage Culture & Maxi Jazz,Commotion,SPINNIN',112,05,n/a
n/a,n/a,n/a,n/a,06,n/a
Depeche Mode,Enjoy The Silence,MUTE,100,07,n/a
Niels van Gogh,Pulverturm,KOSMO,9,08,ANNA Peak Time Remix
Eynka,Skyboarding,STRESS,24,09,n/a
PACS,n/a,n/a,n/a,10,n/a
Vintage Culture & DJ Glen,n/a,n/a,n/a,11,n/a
Olivier Giacomotto,Lose Control,ATLANT REC,20,12,n/a
Knorst & MeMachine,n/a,n/a,n/a,13,n/a
Vintage Culture & Fideles,Fallen Leaf,BOMA,106,14,n/a
Jamie Jones & Hot Natured & Lee Foss,Forward Motion,HOT CREATIONS,48,15,n/a
BONDI,Caught In Between,SELF RELEASED,31,16,Vintage Culture & Gabe Remix
Swedish House Mafia,Ray Of Solar,SSA (REPUBLIC),111,17,Mau P Remix
Lovebirds,Want You In My Soul,WINDING ROAD,136,18,n/a
Adriatique & WhoMadeWho,Miracle,ROSE AVENUE,88,19,n/a
Gui Boratto,Azzurra,KOMPAKT,20,20,n/a
La Roux,In For The Kill,POLYDOR,129,21,n/a
Marco Lys & Lee Cabrera,Reap,SINK OR SWIM,223,22,n/a
Vintage Culture & Fancy Inc & Roland Clark,Free,CATCH & RELEASE,533,23,n/a
Cole Knight,The Girls Go Walking,HIGHER GROUND (MAD DECENT),6,24,n/a
Franky Wah & AR/CO,Under The Sun,TERRACOTTA,81,25,Vintage Culture Remix
RY X,Your Love,INFECTIOUS,14,26,Agents Of Time Remix
New Order,Blue Monday,FACTORY (WARNER MUSIC),21,27,Freemasons Remix
RÜFÜS DU SOL,Wildfire,ROSE AVENUE,42,28,Colyn Remix
RÜFÜS DU SOL,Innerbloom,SWEAT IT OUT!,55,29,Lane 8 Remix
n/a,n/a,n/a,n/a,30,n/a
8Kays & Lazarusman,Respect Me,ELEATICS,14,31,n/a
Amazingblaze & Sirmeloo,Savage Mode,EXTIMA,10,32,Belocca Remix
n/a,n/a,n/a,n/a,33,n/a
Christian Smith,Right Now!,TRONIC,9,34,n/a
Capricorn,20Hz,R&S,114,35,Marco Lys Remix
Christian Smith,Fire To Fire,TRONIC,6,36,n/a
Renato Cohen,Pontape,DRUMCODE,97,37,n/a
ESSED,La Gente,RETAIL RECORDS,75,38,n/a
Osadon,D.D.D,STEREO,6,39,n/a
n/a,n/a,n/a,n/a,40,n/a
Vintage Culture,Tudo Bem Tudo Bom,SUB CULTURED,135,41,n/a
Alex O'Clock,n/a,n/a,n/a,42,n/a
