name,link,date,genre,tracks_identificadas,qtd_tracks
"Cassian @ City Steps, CRSSD Festival Fall, United States",https://www.1001tracklists.com/tracklist/14s63fw1/cassian-city-steps-crssd-festival-fall-united-states-2023-09-24.html,2023-09-24,"Progressive House, Melodic House/Techno",16,18
"Cassian @ Mainstage, NATURKLANG The Lagoon, Switzerland",https://www.1001tracklists.com/tracklist/20q185wt/cassian-mainstage-naturklang-the-lagoon-switzerland-2023-08-26.html,2023-08-26,"Progressive House, Melodic House/Techno",13,14
"Cassian @ Brunch Electronik Barcelona, Spain",https://www.1001tracklists.com/tracklist/103232u1/cassian-brunch-electronik-barcelona-spain-2023-07-09.html,2023-07-09,"House, Melodic House/Techno",26,26
"Cassian & Tale Of Us @ Afterlife, Hï Ibiza, Spain",https://www.1001tracklists.com/tracklist/110jtpvt/cassian-tale-of-us-afterlife-hi-ibiza-spain-2023-07-06.html,2023-07-06,Melodic House/Techno,15,15
"Cassian @ The Cityfox Experience, The Brooklyn Mirage New York, United States",https://www.1001tracklists.com/tracklist/1w0m62y1/cassian-the-cityfox-experience-the-brooklyn-mirage-new-york-united-states-2023-06-10.html,2023-06-10,"Progressive House, Melodic House/Techno",12,17
Cassian - Brunch Madrid,https://www.1001tracklists.com/tracklist/2dt05jc1/cassian-brunch-madrid-2023-06-03.html,2023-06-03,Melodic House/Techno,12,12
"Cassian @ Yuma, Coachella Festival Weekend 2, United States",https://www.1001tracklists.com/tracklist/y6q77gt/cassian-yuma-coachella-festival-weekend-2-united-states-2023-04-23.html,2023-04-23,Melodic House/Techno,19,22
Cassian - RÜFÜS DU SOL's Rose Ave Radio,https://www.1001tracklists.com/tracklist/rpzdpdk/cassian-rufus-du-sols-rose-ave-radio-2023-03-23.html,2023-03-23,Melodic House/Techno,10,13
"Cassian @ Harbourlife Sydney, Australia",https://www.1001tracklists.com/tracklist/1w033qz9/cassian-harbourlife-sydney-australia-2022-11-19.html,2022-11-19,Melodic House/Techno,13,13
"Cassian @ Sundream Tulum, Mexico",https://www.1001tracklists.com/tracklist/2691w75t/cassian-sundream-tulum-mexico-2022-03-04.html,2022-03-04,Melodic House/Techno,15,15
