name,link,date,genre,tracks_identificadas,qtd_tracks
Jeremiah Asiamah & Dom Dolla - BBC Radio 1 Soundsystem,https://www.1001tracklists.com/tracklist/2wnmcwh9/jeremiah-asiamah-dom-dolla-bbc-radio-1-soundsystem-2023-12-02.html,2023-12-02,"House, Drum & Bass",47,47
"Dom Dolla @ Basquiat Stage, Spilt Milk Festival Canberra, Australia",https://www.1001tracklists.com/tracklist/1h0czvh1/dom-dolla-basquiat-stage-spilt-milk-festival-canberra-australia-2023-11-25.html,2023-11-25,Tech House,22,22
"Dom Dolla @ neonGARDEN, EDC Orlando, United States",https://www.1001tracklists.com/tracklist/1wz6uzz9/dom-dolla-neongarden-edc-orlando-united-states-2023-11-11.html,2023-11-11,"House, Tech House",43,45
Danny Howard & Dom Dolla - Dance Party,https://www.1001tracklists.com/tracklist/12wrqz01/danny-howard-dom-dolla-dance-party-2023-11-10.html,2023-11-10,"House, Tech House",38,38
"John Summit & Dom Dolla @ Everything Always Adado Riverfront Park, Lansing, Michigan, United States",https://www.1001tracklists.com/tracklist/284ss4lk/john-summit-dom-dolla-everything-always-adado-riverfront-park-lansing-michigan-united-states-2023-10-20.html,2023-10-20,"Tech House, Techno",28,28
"Dom Dolla @ RC Cola, III Points Music Festival, United States",https://www.1001tracklists.com/tracklist/x9uvzrt/dom-dolla-rc-cola-iii-points-music-festival-united-states-2023-10-20.html,2023-10-20,"House, Tech House",22,26
Dom Dolla - Radio 1's Essential Mix,https://www.1001tracklists.com/tracklist/18hcrp1t/dom-dolla-radio-1s-essential-mix-2023-10-06.html,2023-10-06,Tech House,45,47
"John Summit & Dom Dolla @ Everything Always Gas Works Park Seattle, United States",https://www.1001tracklists.com/tracklist/1c8mr5d1/john-summit-dom-dolla-everything-always-gas-works-park-seattle-united-states-2023-09-09.html,2023-09-09,Tech House,47,47
"John Summit & Dom Dolla & Green Velvet @ The Great Hall New York, Electric Zoo Afterparty",https://www.1001tracklists.com/tracklist/2gp2fh51/john-summit-dom-dolla-green-velvet-the-great-hall-new-york-electric-zoo-afterparty-2023-09-03.html,2023-09-03,"Tech House, House",24,25
"John Summit & Dom Dolla @ Everything Always, The MegaMirage, Electric Zoo Hyperspace, United States",https://www.1001tracklists.com/tracklist/1jvdsk11/john-summit-dom-dolla-everything-always-the-megamirage-electric-zoo-hyperspace-united-states-2023-09-03.html,2023-09-03,Tech House,25,26
"Dom Dolla @ Nightswim, XS Nightclub Las Vegas, United States",https://www.1001tracklists.com/tracklist/2usdtnvk/dom-dolla-nightswim-xs-nightclub-las-vegas-united-states-2023-08-13.html,2023-08-13,Tech House,26,26
"Dom Dolla @ Sirkus Stage, Veld Music Festival, Canada",https://www.1001tracklists.com/tracklist/11yu40t1/dom-dolla-sirkus-stage-veld-music-festival-canada-2023-08-05.html,2023-08-05,Tech House,34,34
"Dom Dolla @ Perry's, Lollapalooza United States",https://www.1001tracklists.com/tracklist/276hwx21/dom-dolla-perrys-lollapalooza-united-states-2023-08-03.html,2023-08-03,Tech House,19,19
"Dom Dolla @ Mainstage, Tomorrowland Weekend 2, Belgium",https://www.1001tracklists.com/tracklist/z4yunz9/dom-dolla-mainstage-tomorrowland-weekend-2-belgium-2023-07-28.html,2023-07-28,"House, Tech House",22,22
Pete Tong & Dom Dolla - Global Dance HQ,https://www.1001tracklists.com/tracklist/1xw54bg1/pete-tong-dom-dolla-global-dance-hq-2023-06-02.html,2023-06-02,"House, Tech House",31,31
"Dom Dolla & John Summit @ Stargate Stage, Movement Electronic Music Festival Detroit, United States",https://www.1001tracklists.com/tracklist/1pjuftut/dom-dolla-john-summit-stargate-stage-movement-electronic-music-festival-detroit-united-states-2023-05-29.html,2023-05-29,"Tech House, Techno",15,15
"Dom Dolla @ XS Nightclub Las Vegas, EDC Week Las Vegas, United States",https://www.1001tracklists.com/tracklist/21mbb7mk/dom-dolla-xs-nightclub-las-vegas-edc-week-las-vegas-united-states-2023-05-21.html,2023-05-21,Tech House,11,11
"Dom Dolla @ circuitGROUNDS, EDC Las Vegas, United States",https://www.1001tracklists.com/tracklist/1w0hwttk/dom-dolla-circuitgrounds-edc-las-vegas-united-states-2023-05-20.html,2023-05-20,"House, Tech House",30,30
"Dom Dolla @ The Brooklyn Mirage New York, United States",https://www.1001tracklists.com/tracklist/16m0kf3k/dom-dolla-the-brooklyn-mirage-new-york-united-states-2023-05-11.html,2023-05-11,Tech House,68,68
"Dom Dolla & Green Velvet @ Pulse Stage, Project Glow, United States",https://www.1001tracklists.com/tracklist/1t701snt/dom-dolla-green-velvet-pulse-stage-project-glow-united-states-2023-04-30.html,2023-04-30,Tech House,11,13
"Dom Dolla @ Red Rocks Amphitheatre, United States",https://www.1001tracklists.com/tracklist/h9srgx1/dom-dolla-red-rocks-amphitheatre-united-states-2023-04-02.html,2023-04-02,"House, Tech House",27,29
"Dom Dolla @ Red Rocks Amphitheatre, United States",https://www.1001tracklists.com/tracklist/clmbuwk/dom-dolla-red-rocks-amphitheatre-united-states-2023-04-01.html,2023-04-01,"Tech House, Techno",34,36
"Dom Dolla & Vintage Culture @ Mainstage, Ultra Music Festival Miami, United States",https://www.1001tracklists.com/tracklist/13td22v1/dom-dolla-vintage-culture-mainstage-ultra-music-festival-miami-united-states-2023-03-25.html,2023-03-25,"House, Tech House",35,36
"Dom Dolla @ circuitGROUNDS, EDC Mexico",https://www.1001tracklists.com/tracklist/2hkyf469/dom-dolla-circuitgrounds-edc-mexico-2023-02-24.html,2023-02-24,Tech House,19,20
"Dom Dolla @ Tomorrowland Adscendo A Digital Introduction, Belgium",https://www.1001tracklists.com/tracklist/y69u6d9/dom-dolla-tomorrowland-adscendo-a-digital-introduction-belgium-2023-01-28.html,2023-01-28,"House, Tech House",10,13
"Dom Dolla @ Realm, Printworks London, United Kingdom",https://www.1001tracklists.com/tracklist/2bwn4389/dom-dolla-realm-printworks-london-united-kingdom-2022-12-03.html,2022-12-03,"House, Tech House",41,41
"Dom Dolla @ Selected Sessions Belgrade DJ Set, Serbia",https://www.1001tracklists.com/tracklist/1mmg4m5k/dom-dolla-selected-sessions-belgrade-dj-set-serbia-2022-11-23.html,2022-11-23,"House, Tech House",30,30
"John Summit & Green Velvet & Dom Dolla @ neonGARDEN, EDC Orlando, United States",https://www.1001tracklists.com/tracklist/2hkgvv3k/john-summit-green-velvet-dom-dolla-neongarden-edc-orlando-united-states-2022-11-12.html,2022-11-12,"Tech House, Techno",21,22
"Dom Dolla @ kineticFIELD, EDC Orlando Sunset Set, United States",https://www.1001tracklists.com/tracklist/y5y3tx9/dom-dolla-kineticfield-edc-orlando-sunset-set-united-states-2022-11-12.html,2022-11-12,Tech House,25,28
"Dom Dolla @ HISTORY Toronto, Canada",https://www.1001tracklists.com/tracklist/18fshvfk/dom-dolla-history-toronto-canada-2022-11-11.html,2022-11-11,Tech House,32,36
