name,link,date,genre,tracks_identificadas,qtd_tracks
Duke Dumont - Radio Blasé 005,https://www.1001tracklists.com/tracklist/y82hpn9/duke-dumont-radio-blase-005-2024-01-14.html,2024-01-14,"House, Tech House",17,17
"Duke Dumont @ FNGRS CRSSD Field Stage Proper NYE/NYD, United States",https://www.1001tracklists.com/tracklist/gfdc5ck/duke-dumont-fngrs-crssd-field-stage-proper-nyeslashnyd-united-states-2023-12-31.html,2023-12-31,"Tech House, Melodic House/Techno",19,21
Duke Dumont - Radio Blasé 004,https://www.1001tracklists.com/tracklist/25cqdwu1/duke-dumont-radio-blase-004-2023-12-31.html,2023-12-31,Tech House,17,17
Duke Dumont - Radio Blasé 003,https://www.1001tracklists.com/tracklist/2n8gnw79/duke-dumont-radio-blase-003-2023-12-17.html,2023-12-17,"Tech House, Techno",17,17
Duke Dumont - Zeskullz Presents 253,https://www.1001tracklists.com/tracklist/1c94dqmt/duke-dumont-zeskullz-presents-253-2023-12-14.html,2023-12-14,"Mainstage, Tech House",19,19
Duke Dumont - Radio Blasé 002,https://www.1001tracklists.com/tracklist/nxuk1x9/duke-dumont-radio-blase-002-2023-12-03.html,2023-12-03,"House, Tech House",16,16
Duke Dumont - Radio Blasé 001,https://www.1001tracklists.com/tracklist/9s3drqk/duke-dumont-radio-blase-001-2023-11-15.html,2023-11-15,"House, Tech House",18,18
"Duke Dumont @ The Brooklyn Mirage New York, United States",https://www.1001tracklists.com/tracklist/1mnxptw9/duke-dumont-the-brooklyn-mirage-new-york-united-states-2023-08-25.html,2023-08-25,"Tech House, Melodic House/Techno",101,118
"Duke Dumont @ High Tide, Day Trip, Queen Mary Waterfront, United States",https://www.1001tracklists.com/tracklist/1nld6clk/duke-dumont-high-tide-day-trip-queen-mary-waterfront-united-states-2023-06-24.html,2023-06-24,"Tech House, Melodic House/Techno",33,37
"Duke Dumont @ circuitGROUNDS, EDC Las Vegas, United States",https://www.1001tracklists.com/tracklist/1nl2fnrt/duke-dumont-circuitgrounds-edc-las-vegas-united-states-2023-05-19.html,2023-05-19,"House, Tech House",29,30
Duke Dumont - Triple J Friday Mix,https://www.1001tracklists.com/tracklist/myn76bt/duke-dumont-triple-j-friday-mix-2023-03-03.html,2023-03-03,"Progressive House, Melodic House/Techno",08,08
"Duke Dumont @ La Solar Medellin, Colombia",https://www.1001tracklists.com/tracklist/25b28b91/duke-dumont-la-solar-medellin-colombia-2023-02-11.html,2023-02-11,"House, Tech House",09,09
"Duke Dumont @ North Side, Day.MVS XL Festival San Diego, United States",https://www.1001tracklists.com/tracklist/1qdtsys1/duke-dumont-north-side-day.mvs-xl-festival-san-diego-united-states-2022-08-06.html,2022-08-06,"Tech House, Melodic House/Techno",36,37
"Duke Dumont @ Solana x Perry's, Lollapalooza Chicago, United States",https://www.1001tracklists.com/tracklist/h8kv0nk/duke-dumont-solana-x-perrys-lollapalooza-chicago-united-states-2022-07-30.html,2022-07-30,"House, Tech House",21,22
"Duke Dumont @ Ranch Arena Stage, Electric Forest Festival, United States",https://www.1001tracklists.com/tracklist/2uqcj7k1/duke-dumont-ranch-arena-stage-electric-forest-festival-united-states-2022-06-23.html,2022-06-23,"House, Tech House",11,11
