name,link,date,genre,tracks_identificadas,qtd_tracks
"John Summit @ Motherboard Stage, Decadence Colorado, United States",https://www.1001tracklists.com/tracklist/1yv3b4r9/john-summit-motherboard-stage-decadence-colorado-united-states-2023-12-30.html,2023-12-30,Tech House,15,16
"John Summit @ LIV Las Vegas, United States",https://www.1001tracklists.com/tracklist/20qpwlqt/john-summit-liv-las-vegas-united-states-2023-12-29.html,2023-12-29,"Tech House, Techno",40,44
"John Summit @ Building 293, Brooklyn Navy Yard New York, United States",https://www.1001tracklists.com/tracklist/cmz1plt/john-summit-building-293-brooklyn-navy-yard-new-york-united-states-2023-12-28.html,2023-12-28,"Dance / Electro Pop, Tech House",47,61
"John Summit @ BMO Stadium Afterparty, The Exchange Los Angeles, United States",https://www.1001tracklists.com/tracklist/2mbp0ukt/john-summit-bmo-stadium-afterparty-the-exchange-los-angeles-united-states-2023-12-16.html,2023-12-16,Tech House,12,13
"John Summit & Subtronics @ Closing Set, BMO Stadium Los Angeles, United States",https://www.1001tracklists.com/tracklist/1f4s7nj1/john-summit-subtronics-closing-set-bmo-stadium-los-angeles-united-states-2023-12-16.html,2023-12-16,"Tech House, Techno",44,50
"John Summit @ Opening Set, BMO Stadium Los Angeles, United States",https://www.1001tracklists.com/tracklist/2ldv6jq1/john-summit-opening-set-bmo-stadium-los-angeles-united-states-2023-12-16.html,2023-12-16,"House, Tech House",12,13
"John Summit @ LIV Las Vegas, United States",https://www.1001tracklists.com/tracklist/1qgss52k/john-summit-liv-las-vegas-united-states-2023-12-14.html,2023-12-14,Tech House,17,17
"John Summit @ Experts Only, Art Basel Closing Party, Factory Town Miami, United States",https://www.1001tracklists.com/tracklist/24ftgls1/john-summit-experts-only-art-basel-closing-party-factory-town-miami-united-states-2023-12-10.html,2023-12-10,"House, Tech House",26,35
John Summit - Experts Only Radio 008,https://www.1001tracklists.com/tracklist/fhgmpn9/john-summit-experts-only-radio-008-2023-12-08.html,2023-12-08,Tech House,18,18
"John Summit @ Basel Edition, LIV Miami, United States",https://www.1001tracklists.com/tracklist/2p671g79/john-summit-basel-edition-liv-miami-united-states-2023-12-08.html,2023-12-08,Tech House,11,12
"John Summit @ Club Space Miami, United States",https://www.1001tracklists.com/tracklist/j8vckxt/john-summit-club-space-miami-united-states-2023-12-06.html,2023-12-06,"Tech House, Techno",24,27
