name,link,date,genre,tracks_identificadas,qtd_tracks
Joris Voorn - Spectrum Radio 351,https://www.1001tracklists.com/tracklist/2mbtqnj1/joris-voorn-spectrum-radio-351-2024-01-12.html,2024-01-12,"Tech House, Techno",16,18
Joris Voorn - Spectrum Radio 350,https://www.1001tracklists.com/tracklist/1yv3qk6t/joris-voorn-spectrum-radio-350-2024-01-05.html,2024-01-05,"Techno, Melodic House/Techno",10,15
Joris Voorn - UMF Radio 764,https://www.1001tracklists.com/tracklist/1qgw5wtk/joris-voorn-umf-radio-764-2024-01-03.html,2024-01-03,"Techno, Melodic House/Techno",32,34
Joris Voorn - Spectrum Radio 349,https://www.1001tracklists.com/tracklist/j8ysu0t/joris-voorn-spectrum-radio-349-2023-12-29.html,2023-12-29,"Tech House, Melodic House/Techno",15,18
Joris Voorn - Spectrum Radio 348,https://www.1001tracklists.com/tracklist/fhjfl5k/joris-voorn-spectrum-radio-348-2023-12-22.html,2023-12-22,Melodic House/Techno,00,00
Joris Voorn - Spectrum Radio 347,https://www.1001tracklists.com/tracklist/1bcc26mk/joris-voorn-spectrum-radio-347-2023-12-15.html,2023-12-15,Techno,22,25
"Joris Voorn @ Fabric London, United Kingdom",https://www.1001tracklists.com/tracklist/2jk9yd71/joris-voorn-fabric-london-united-kingdom-2023-12-09.html,2023-12-09,"Progressive House, Melodic House/Techno",113,131
"Joris Voorn @ Spectrum Radio 346 (Tivoli Vredenburg Utrecht, Netherlands 2023-11-25)",https://www.1001tracklists.com/tracklist/1zssl6x1/joris-voorn-spectrum-radio-346-tivoli-vredenburg-utrecht-netherlands-2023-11-25-2023-12-08.html,2023-12-08,Melodic House/Techno,15,19
"Joris Voorn @ Paradigm Groningen, Netherlands",https://www.1001tracklists.com/tracklist/1v3t0w0k/joris-voorn-paradigm-groningen-netherlands-2023-11-25.html,2023-11-25,Techno,53,60
Joris Voorn - Spectrum Radio 344,https://www.1001tracklists.com/tracklist/pvm4crk/joris-voorn-spectrum-radio-344-2023-11-24.html,2023-11-24,Techno,17,21
Joris Voorn - Spectrum Radio 343,https://www.1001tracklists.com/tracklist/22l2f5l9/joris-voorn-spectrum-radio-343-2023-11-17.html,2023-11-17,Techno,19,19
"Joris Voorn @ Spectrum Radio 341 (STRAF_WERK, De Kromhouthal, Amsterdam Dance Event, Netherlands 2023-10-22)",https://www.1001tracklists.com/tracklist/2wngg7kt/joris-voorn-spectrum-radio-341-straf_werk-de-kromhouthal-amsterdam-dance-event-netherlands-2023-10-22-2023-10-22.html,2023-10-22,"Tech House, Melodic House/Techno",23,24
"Joris Voorn @ Spectrum, Awakenings, Gashouder, Amsterdam Dance Event",https://www.1001tracklists.com/tracklist/2by8tgwt/joris-voorn-spectrum-awakenings-gashouder-amsterdam-dance-event-2023-10-21.html,2023-10-21,Techno,58,65
Joris Voorn - Spectrum Radio 340,https://www.1001tracklists.com/tracklist/1lr9sjv1/joris-voorn-spectrum-radio-340-2023-10-21.html,2023-10-21,Melodic House/Techno,00,00
Joris Voorn & Khainz & Kölsch + More - Spectrum Radio ADE Special,https://www.1001tracklists.com/tracklist/1t7w84n1/joris-voorn-khainz-kolsch-spectrum-radio-ade-special-2023-10-20.html,2023-10-20,"Techno, Melodic House/Techno",22,37
Joris Voorn - Spectrum Radio 339,https://www.1001tracklists.com/tracklist/1lr8l96t/joris-voorn-spectrum-radio-339-2023-10-20.html,2023-10-20,Melodic House/Techno,16,19
"Joris Voorn @ Drumcode Centraal Pop-Up Store, Amsterdam Dance Event, Netherlands",https://www.1001tracklists.com/tracklist/1c93qsh1/joris-voorn-drumcode-centraal-pop-up-store-amsterdam-dance-event-netherlands-2023-10-19.html,2023-10-19,Techno,22,25
