name,link,date,genre,image_url,tracks_identificadas,qtd_tracks
Lost Frequencies - Lost Radio Show 340,https://www.1001tracklists.com/tracklist/2b0smtzk/lost-frequencies-lost-radio-show-340-2024-01-11.html,2024-01-11,"Mainstage, Tech House",https://cdn.1001tracklists.com/images/artworks/sources/c/e/5/c/161210-artwork-lost-radio-show-584b41a3d0386-Small.jpg,18,18
Lost Frequencies - Lost Radio Show 339,https://www.1001tracklists.com/tracklist/1yv3c4yk/lost-frequencies-lost-radio-show-339-2024-01-04.html,2024-01-04,"Mainstage, Tech House",https://cdn.1001tracklists.com/images/artworks/sources/c/e/5/c/161210-artwork-lost-radio-show-584b41a3d0386-Small.jpg,18,18
MOGUAI & Lost Frequencies & Mau P + More - 1LIVE DJ Session (Best Of 2023 Part 2),https://www.1001tracklists.com/tracklist/285398p9/moguai-lost-frequencies-mau-p-1live-dj-session-best-of-2023-part-2-2023-12-30.html,2023-12-30,"House, Tech House",https://cdn.1001tracklists.com/images/artworks/djs/6/7/9/3/170129-artwork-moguai-588e25546ef96-Small.jpg,65,65
Lost Frequencies - Lost Radio Show 337,https://www.1001tracklists.com/tracklist/sp43d81/lost-frequencies-lost-radio-show-337-2023-12-21.html,2023-12-21,"Mainstage, Tech House",https://www.1001tracklists.com/images/static/empty.png,16,18
Lost Frequencies - Lost Radio Show 336,https://www.1001tracklists.com/tracklist/2kh11vsk/lost-frequencies-lost-radio-show-336-2023-12-14.html,2023-12-14,"Mainstage, Tech House",https://www.1001tracklists.com/images/static/empty.png,18,18
Lost Frequencies - Lost Radio Show 335,https://www.1001tracklists.com/tracklist/1lrjp2gt/lost-frequencies-lost-radio-show-335-2023-12-07.html,2023-12-07,"Mainstage, Tech House",https://www.1001tracklists.com/images/static/empty.png,18,18
"Lost Frequencies @ Peakstorm Festival, Malaysia",https://www.1001tracklists.com/tracklist/1sbcdkl1/lost-frequencies-peakstorm-festival-malaysia-2023-12-03.html,2023-12-03,"Mainstage, Melodic House/Techno",https://www.1001tracklists.com/images/static/empty.png,27,32
Lost Frequencies - Lost Radio Show 334,https://www.1001tracklists.com/tracklist/dkm3g5t/lost-frequencies-lost-radio-show-334-2023-11-30.html,2023-11-30,"Mainstage, Tech House",https://www.1001tracklists.com/images/static/empty.png,16,16
Lost Frequencies @ SLAM! MixMarathon,https://www.1001tracklists.com/tracklist/2p64q429/lost-frequencies-slam-mixmarathon-2023-11-23.html,2023-11-23,"House, Dance / Electro Pop",https://www.1001tracklists.com/images/static/empty.png,09,09
Lost Frequencies - Lost Radio Show 333,https://www.1001tracklists.com/tracklist/1u5vu1ht/lost-frequencies-lost-radio-show-333-2023-11-23.html,2023-11-23,"Mainstage, Tech House",https://www.1001tracklists.com/images/static/empty.png,18,18
Lost Frequencies - 1LIVE DJ Session,https://www.1001tracklists.com/tracklist/l4c4udt/lost-frequencies-1live-dj-session-2023-11-18.html,2023-11-18,Dance / Electro Pop,https://www.1001tracklists.com/images/static/empty.png,16,16
Lost Frequencies - Tomorrowland Friendship Mix,https://www.1001tracklists.com/tracklist/2gphhys9/lost-frequencies-tomorrowland-friendship-mix-2023-11-16.html,2023-11-16,"Mainstage, Tech House",https://www.1001tracklists.com/images/static/empty.png,16,16
Lost Frequencies - Lost Radio Show 332,https://www.1001tracklists.com/tracklist/1jvtrr59/lost-frequencies-lost-radio-show-332-2023-11-16.html,2023-11-16,"Mainstage, Tech House",https://www.1001tracklists.com/images/static/empty.png,18,18
Lost Frequencies @ All Stand Together Album Listening Session,https://www.1001tracklists.com/tracklist/15q5djjk/lost-frequencies-all-stand-together-album-listening-session-2023-11-14.html,2023-11-14,"House, Dance / Electro Pop",https://www.1001tracklists.com/images/static/empty.png,11,11
Lost Frequencies - Lost Radio Show 331,https://www.1001tracklists.com/tracklist/2wnh655t/lost-frequencies-lost-radio-show-331-2023-11-04.html,2023-11-04,"Mainstage, Tech House",https://www.1001tracklists.com/images/static/empty.png,18,18
Lost Frequencies - Lost Radio Show 330,https://www.1001tracklists.com/tracklist/2gpdt2hk/lost-frequencies-lost-radio-show-330-2023-10-28.html,2023-10-28,"Mainstage, Tech House",https://www.1001tracklists.com/images/static/empty.png,18,18
Lost Frequencies - Lost Radio Show 329,https://www.1001tracklists.com/tracklist/22kxwnl9/lost-frequencies-lost-radio-show-329-2023-10-21.html,2023-10-21,"Mainstage, Tech House",https://www.1001tracklists.com/images/static/empty.png,18,18
Lost Frequencies - Lost Radio Show 328,https://www.1001tracklists.com/tracklist/1hxunpw9/lost-frequencies-lost-radio-show-328-2023-10-14.html,2023-10-14,"House, Tech House",https://www.1001tracklists.com/images/static/empty.png,17,18
"Lost Frequencies @ Mainstage, Tomorrowland Brasil",https://www.1001tracklists.com/tracklist/j8km2x1/lost-frequencies-mainstage-tomorrowland-brasil-2023-10-14.html,2023-10-14,"House, Dance / Electro Pop",https://www.1001tracklists.com/images/static/empty.png,18,22
Lost Frequencies - Lost Radio Show 327,https://www.1001tracklists.com/tracklist/qt466zt/lost-frequencies-lost-radio-show-327-2023-10-07.html,2023-10-07,House,https://www.1001tracklists.com/images/static/empty.png,16,18
Lost Frequencies - Lost Radio Show 326,https://www.1001tracklists.com/tracklist/gdwgvrk/lost-frequencies-lost-radio-show-326-2023-10-05.html,2023-10-05,"Mainstage, Tech House",https://www.1001tracklists.com/images/static/empty.png,18,18
Lost Frequencies - Lost Radio Show 325,https://www.1001tracklists.com/tracklist/1xws652t/lost-frequencies-lost-radio-show-325-2023-09-28.html,2023-09-28,"Mainstage, Tech House",https://www.1001tracklists.com/images/static/empty.png,18,18
Lost Frequencies - Lost Radio Show 324,https://www.1001tracklists.com/tracklist/2ldctu2t/lost-frequencies-lost-radio-show-324-2023-09-21.html,2023-09-21,"Mainstage, Tech House",https://www.1001tracklists.com/images/static/empty.png,18,18
Lost Frequencies - Lost Radio Show 323,https://www.1001tracklists.com/tracklist/276qjngk/lost-frequencies-lost-radio-show-323-2023-09-14.html,2023-09-14,"Mainstage, Tech House",https://www.1001tracklists.com/images/static/empty.png,18,18
Armin van Buuren & Lost Frequencies - Dance Department,https://www.1001tracklists.com/tracklist/2jjqjkt1/armin-van-buuren-lost-frequencies-dance-department-2023-09-09.html,2023-09-09,"House, Tech House",https://www.1001tracklists.com/images/static/empty.png,43,46
Lost Frequencies - Lost Radio Show 322,https://www.1001tracklists.com/tracklist/2kghrqct/lost-frequencies-lost-radio-show-322-2023-09-07.html,2023-09-07,"Mainstage, Tech House",https://www.1001tracklists.com/images/static/empty.png,16,16
Lost Frequencies - Lost Radio Show 321,https://www.1001tracklists.com/tracklist/22kmptlt/lost-frequencies-lost-radio-show-321-2023-08-30.html,2023-08-30,"Mainstage, Tech House",https://www.1001tracklists.com/images/static/empty.png,16,16
"Lost Frequencies @ Horizon Stage, Creamfields North, United Kingdom",https://www.1001tracklists.com/tracklist/110r0c99/lost-frequencies-horizon-stage-creamfields-north-united-kingdom-2023-08-27.html,2023-08-27,"Dance / Electro Pop, Tech House",https://www.1001tracklists.com/images/static/empty.png,27,31
Lost Frequencies - Lost Radio Show 320,https://www.1001tracklists.com/tracklist/1xwl831t/lost-frequencies-lost-radio-show-320-2023-08-23.html,2023-08-23,"Mainstage, Tech House",https://www.1001tracklists.com/images/static/empty.png,16,16
"Lost Frequencies @ S2O Songkran Music Festival Taiwan, Taiwan",https://www.1001tracklists.com/tracklist/qsvn0lk/lost-frequencies-s2o-songkran-music-festival-taiwan-taiwan-2023-08-20.html,2023-08-20,"House, Mainstage",https://www.1001tracklists.com/images/static/empty.png,22,24
