name,link,date,genre,tracks_identificadas,qtd_tracks
Martin Garrix - The Martin Garrix Show 488,https://www.1001tracklists.com/tracklist/13uw8gb1/martin-garrix-the-martin-garrix-show-488-2024-01-12.html,2024-01-12,"Dance / Electro Pop, Mainstage",17,17
Martin Garrix - The Martin Garrix Show 487 (Yearmix Part 2),https://www.1001tracklists.com/tracklist/2du4tu0k/martin-garrix-the-martin-garrix-show-487-yearmix-part-2-2024-01-05.html,2024-01-05,"Dance / Electro Pop, Mainstage",20,20
"Martin Garrix @ NYE Fireworks, Erasmus Bridge Rotterdam, Netherlands",https://www.1001tracklists.com/tracklist/2ut4xwst/martin-garrix-nye-fireworks-erasmus-bridge-rotterdam-netherlands-2024-01-01.html,2024-01-01,Mainstage,07,07
Martin Garrix - Evolution Radio New Year's Live!,https://www.1001tracklists.com/tracklist/14sn73z9/martin-garrix-evolution-radio-new-years-live-2023-12-31.html,2023-12-31,"Dance / Electro Pop, Mainstage",18,18
"Martin Garrix @ Storm Electronic Music Festival Guangzhou, China",https://www.1001tracklists.com/tracklist/1pk1sz79/martin-garrix-storm-electronic-music-festival-guangzhou-china-2023-12-30.html,2023-12-30,Mainstage,45,45
"Martin Garrix @ Kosoku Music Festival, Japan",https://www.1001tracklists.com/tracklist/24fw7qb1/martin-garrix-kosoku-music-festival-japan-2023-12-29.html,2023-12-29,Mainstage,46,46
Martin Garrix - The Martin Garrix Show 486 (Yearmix Part 1),https://www.1001tracklists.com/tracklist/17kz7189/martin-garrix-the-martin-garrix-show-486-yearmix-part-1-2023-12-29.html,2023-12-29,"Dance / Electro Pop, Mainstage",22,22
Martin Garrix - The Martin Garrix Show 485,https://www.1001tracklists.com/tracklist/pvrf0t1/martin-garrix-the-martin-garrix-show-485-2023-12-22.html,2023-12-22,"Dance / Electro Pop, Mainstage",17,17
"Martin Garrix @ Big Beast, MDLBEAST SOUNDSTORM, Saudi Arabia",https://www.1001tracklists.com/tracklist/2mbnstr1/martin-garrix-big-beast-mdlbeast-soundstorm-saudi-arabia-2023-12-15.html,2023-12-15,Mainstage,53,56
Martin Garrix - The Martin Garrix Show 484,https://www.1001tracklists.com/tracklist/18hrpcwt/martin-garrix-the-martin-garrix-show-484-2023-12-15.html,2023-12-15,"Mainstage, Dance / Electro Pop",17,17
Martin Garrix - The Martin Garrix Show 483,https://www.1001tracklists.com/tracklist/1pjxym6t/martin-garrix-the-martin-garrix-show-483-2023-12-08.html,2023-12-08,"Mainstage, Dance / Electro Pop",17,17
"Martin Garrix @ ZoukOut Festival, Singapore",https://www.1001tracklists.com/tracklist/pvnddzk/martin-garrix-zoukout-festival-singapore-2023-12-03.html,2023-12-03,Mainstage,46,46
"Martin Garrix @ Peakstorm Festival, Malaysia",https://www.1001tracklists.com/tracklist/j8v6069/martin-garrix-peakstorm-festival-malaysia-2023-12-02.html,2023-12-02,Mainstage,57,57
Martin Garrix - The Martin Garrix Show 482,https://www.1001tracklists.com/tracklist/dkm5sdt/martin-garrix-the-martin-garrix-show-482-2023-12-01.html,2023-12-01,"Mainstage, Dance / Electro Pop",18,18
Martin Garrix - The Martin Garrix Show 481,https://www.1001tracklists.com/tracklist/2699vk39/martin-garrix-the-martin-garrix-show-481-2023-11-24.html,2023-11-24,"Dance / Electro Pop, Mainstage",18,18
Martin Garrix - The Martin Garrix Show 480,https://www.1001tracklists.com/tracklist/1w1g7hb9/martin-garrix-the-martin-garrix-show-480-2023-11-17.html,2023-11-17,"Dance / Electro Pop, Mainstage",18,18
Martin Garrix - The Martin Garrix Show 479,https://www.1001tracklists.com/tracklist/1jvstjct/martin-garrix-the-martin-garrix-show-479-2023-11-10.html,2023-11-10,"Dance / Electro Pop, Mainstage",18,18
"Martin Garrix @ H-ONE, China",https://www.1001tracklists.com/tracklist/x9x2jlk/martin-garrix-h-one-china-2023-11-04.html,2023-11-04,Mainstage,55,55
"Martin Garrix @ VAC Vision & Colour Music Festival, China",https://www.1001tracklists.com/tracklist/1t7yv7tt/martin-garrix-vac-vision-and-colour-music-festival-china-2023-11-04.html,2023-11-04,Mainstage,45,45
Martin Garrix - The Martin Garrix Show 478,https://www.1001tracklists.com/tracklist/2by6gfk1/martin-garrix-the-martin-garrix-show-478-2023-11-03.html,2023-11-03,"Dance / Electro Pop, Mainstage",18,18
"Martin Garrix @ Formula 1 Grand Prix Autódromo Hermanos Rodríguez, Mexico",https://www.1001tracklists.com/tracklist/snv533t/martin-garrix-formula-1-grand-prix-autodromo-hermanos-rodriguez-mexico-2023-10-29.html,2023-10-29,Mainstage,21,21
Martin Garrix - The Martin Garrix Show 477,https://www.1001tracklists.com/tracklist/16mvz9w9/martin-garrix-the-martin-garrix-show-477-2023-10-27.html,2023-10-27,"Dance / Electro Pop, Mainstage",18,18
"Martin Garrix @ IDEM (All Ages Show), RAI, Amsterdam Dance Event",https://www.1001tracklists.com/tracklist/24fjkkp1/martin-garrix-idem-all-ages-show-rai-amsterdam-dance-event-2023-10-21.html,2023-10-21,Mainstage,68,69
Martin Garrix - The Martin Garrix Show 476,https://www.1001tracklists.com/tracklist/9ryzrzk/martin-garrix-the-martin-garrix-show-476-2023-10-20.html,2023-10-20,"Dance / Electro Pop, Mainstage",18,18
"Martin Garrix @ IDEM (18+ Show), RAI, Amsterdam Dance Event",https://www.1001tracklists.com/tracklist/2gpbuw81/martin-garrix-idem-18plus-show-rai-amsterdam-dance-event-2023-10-20.html,2023-10-20,Mainstage,78,80
"Martin Garrix @ STMPD RCRDS Label Night, Club Air, Amsterdam Dance Event",https://www.1001tracklists.com/tracklist/hbst741/martin-garrix-stmpd-rcrds-label-night-club-air-amsterdam-dance-event-2023-10-19.html,2023-10-19,Mainstage,30,30
Martin Garrix - The Martin Garrix Show 475,https://www.1001tracklists.com/tracklist/bprcgnk/martin-garrix-the-martin-garrix-show-475-2023-10-13.html,2023-10-13,"Dance / Electro Pop, Mainstage",18,18
"Martin Garrix @ Mainstage, Tomorrowland Brasil",https://www.1001tracklists.com/tracklist/110zdq6k/martin-garrix-mainstage-tomorrowland-brasil-2023-10-12.html,2023-10-12,Mainstage,30,30
BOTCHA - BOTCHA Radio Show 412 (Martin Garrix Tribute),https://www.1001tracklists.com/tracklist/hbr1lv9/botcha-botcha-radio-show-412-martin-garrix-tribute-2023-10-07.html,2023-10-07,"Progressive House, Dance / Electro Pop",18,18
Martin Garrix - The Martin Garrix Show 474,https://www.1001tracklists.com/tracklist/23hn7nx9/martin-garrix-the-martin-garrix-show-474-2023-10-06.html,2023-10-06,"Dance / Electro Pop, Mainstage",19,19
