name,link,date,genre,tracks_identificadas,qtd_tracks
MATTN - MATTN Minimix,https://www.1001tracklists.com/tracklist/1xx4y9n9/mattn-mattn-minimix-2023-12-08.html,2023-12-08,"Dance / Electro Pop, Mainstage",12,12
MATTN - Wave Nightclub Taipei,https://www.1001tracklists.com/tracklist/1u5wx8g9/mattn-wave-nightclub-taipei-2023-11-25.html,2023-11-25,"Dance / Electro Pop, Mainstage",12,24
MATTN - MATTN Special,https://www.1001tracklists.com/tracklist/2wnfywc1/mattn-mattn-special-2023-11-02.html,2023-11-02,"Mainstage, Dance / Electro Pop",21,21
"MATTN @ Mainstage, Tomorrowland Brasil",https://www.1001tracklists.com/tracklist/gdxwnlk/mattn-mainstage-tomorrowland-brasil-2023-10-12.html,2023-10-12,Mainstage,34,37
"MATTN @ Ushuaïa Ibiza, Spain",https://www.1001tracklists.com/tracklist/j8lh0gt/mattn-ushuaia-ibiza-spain-2023-08-23.html,2023-08-23,"Dance / Electro Pop, Mainstage",33,34
"MATTN @ Mainstage, Tomorrowland Weekend 1, Belgium",https://www.1001tracklists.com/tracklist/9rhdy29/mattn-mainstage-tomorrowland-weekend-1-belgium-2023-07-21.html,2023-07-21,Mainstage,37,39
"MATTN & Dimitri Vegas @ Jez! Q-Music charity event, Belgium",https://www.1001tracklists.com/tracklist/25b8nbm9/mattn-dimitri-vegas-jez-q-music-charity-event-belgium-2023-03-27.html,2023-03-27,"Mainstage, Tech House",14,22
"MATTN @ Crystal Garden Stage, Tomorrowland Winter, France",https://www.1001tracklists.com/tracklist/h9rjrnt/mattn-crystal-garden-stage-tomorrowland-winter-france-2023-03-24.html,2023-03-24,"Mainstage, Bass House",42,45
"MATTN @ Mainstage, Tomorrowland Weekend 1, Belgium",https://www.1001tracklists.com/tracklist/291ftdft/mattn-mainstage-tomorrowland-weekend-1-belgium-2022-07-17.html,2022-07-17,"Progressive House, Dance / Electro Pop",41,43
"MATTN @ Dreamville (The Gathering), Tomorrowland Weekend 1, Belgium",https://www.1001tracklists.com/tracklist/2fp6l341/mattn-dreamville-the-gathering-tomorrowland-weekend-1-belgium-2022-07-14.html,2022-07-14,"Mainstage, Dance / Electro Pop",30,32
MATTN & Dimitri Vegas - MNM Party,https://www.1001tracklists.com/tracklist/2hfwh5j9/mattn-dimitri-vegas-mnm-party-2021-02-20.html,2021-02-20,"Mainstage, House",30,30
MATTN @ Smash The House Christmas Livestream,https://www.1001tracklists.com/tracklist/j300n19/mattn-smash-the-house-christmas-livestream-2020-12-25.html,2020-12-25,"House, Mainstage",27,31
MATTN @ DJ Mag Top 100 DJs Virtual Festival,https://www.1001tracklists.com/tracklist/27ygk4b1/mattn-dj-mag-top-100-djs-virtual-festival-2020-08-01.html,2020-08-01,Mainstage,34,35
"MATTN @ Plopsa Huiskamerparty, Belgium",https://www.1001tracklists.com/tracklist/16f551b9/mattn-plopsa-huiskamerparty-belgium-2020-05-01.html,2020-05-01,"Progressive House, Mainstage",40,41
"MATTN @ Smash The House Stage, Tomorrowland Weekend 2, Belgium",https://www.1001tracklists.com/tracklist/1jn2xwq9/mattn-smash-the-house-stage-tomorrowland-weekend-2-belgium-2019-07-28.html,2019-07-28,Mainstage,32,32
"MATTN @ Mainstage, Tomorrowland Weekend 1, Belgium",https://www.1001tracklists.com/tracklist/1c185wzt/mattn-mainstage-tomorrowland-weekend-1-belgium-2019-07-20.html,2019-07-20,Mainstage,43,43
"MATTN @ Tusev Tek Barv, Slovenia",https://www.1001tracklists.com/tracklist/kwj7379/mattn-tusev-tek-barv-slovenia-2019-06-21.html,2019-06-21,Mainstage,52,52
MATTN - MNM Marathonradio,https://www.1001tracklists.com/tracklist/1uvu1z1t/mattn-mnm-marathonradio-2019-06-15.html,2019-06-15,"Progressive House, Mainstage",14,14
MATTN - Tomorrowland One World Radio Daybreak Sessions (Smash The House Takeover),https://www.1001tracklists.com/tracklist/15g9ydxt/mattn-tomorrowland-one-world-radio-daybreak-sessions-smash-the-house-takeover-2019-06-06.html,2019-06-06,"Progressive House, Mainstage",18,19
"MATTN @ Orangerie, Tomorrowland Winter, France",https://www.1001tracklists.com/tracklist/zv87v51/mattn-orangerie-tomorrowland-winter-france-2019-03-15.html,2019-03-15,"Progressive House, Mainstage",36,36
"MATTN @ Mainstage, Tomorrowland Winter, France",https://www.1001tracklists.com/tracklist/1p8q7fj1/mattn-mainstage-tomorrowland-winter-france-2019-03-14.html,2019-03-14,Mainstage,40,40
"MATTN @ VAC Infinity Festival, China",https://www.1001tracklists.com/tracklist/2k6rfwrt/mattn-vac-infinity-festival-china-2019-03-03.html,2019-03-03,"Progressive House, Mainstage",49,51
Tigerlily & MATTN - Team Tiger Podcast 070,https://www.1001tracklists.com/tracklist/1p8h65ht/tigerlily-mattn-team-tiger-podcast-070-2019-01-07.html,2019-01-07,"Mainstage, House",34,36
"MATTN @ Smash The House Stage, Tomorrowland Weekend 2, Belgium",https://www.1001tracklists.com/tracklist/1vslj29t/mattn-smash-the-house-stage-tomorrowland-weekend-2-belgium-2018-07-28.html,2018-07-28,"Progressive House, Mainstage",45,47
"MATTN @ Smash The House Stage, Tomorrowland Weekend 1, Belgium",https://www.1001tracklists.com/tracklist/w38l9yt/mattn-smash-the-house-stage-tomorrowland-weekend-1-belgium-2018-07-22.html,2018-07-22,"Progressive House, Mainstage",49,51
"MATTN @ Dreamville (The Gathering), Tomorrowland Weekend 1, Belgium",https://www.1001tracklists.com/tracklist/1lgjfr01/mattn-dreamville-the-gathering-tomorrowland-weekend-1-belgium-2018-07-19.html,2018-07-19,"Progressive House, Mainstage",32,33
MATTN @ S2O Songkran Music Festival Thailand,https://www.1001tracklists.com/tracklist/11ptqutk/mattn-s2o-songkran-music-festival-thailand-2018-04-13.html,2018-04-13,"Progressive House, Mainstage",47,50
"MATTN @ Electric Mountain Festival, Austria",https://www.1001tracklists.com/tracklist/2rqb6utk/mattn-electric-mountain-festival-austria-2018-04-05.html,2018-04-05,"Progressive House, Mainstage",20,22
"MATTN @ Main Stage, Sunburn Festival, India",https://www.1001tracklists.com/tracklist/mqhn1tk/mattn-main-stage-sunburn-festival-india-2017-12-28.html,2017-12-28,"Progressive House, Mainstage",35,37
"MATTN @ Mainstage, Tomorrowland Weekend 2, Belgium",https://www.1001tracklists.com/tracklist/2360fxj9/mattn-mainstage-tomorrowland-weekend-2-belgium-2017-07-30.html,2017-07-30,"Progressive House, Mainstage",42,44
