name,link,date,genre,tracks_identificadas,qtd_tracks
Mochakk - Apple Music Mixes NYE 2024,https://www.1001tracklists.com/tracklist/1h0d55dk/mochakk-apple-music-mixes-nye-2024-2023-12-20.html,2023-12-20,"House, Tech House",07,14
"Mochakk @ Time Warp Mannheim, Germany",https://www.1001tracklists.com/tracklist/2tv51481/mochakk-time-warp-mannheim-germany-2023-11-04.html,2023-11-04,"House, Tech House",22,31
Mochakk - Apple Music Mixes The Jealous Mix,https://www.1001tracklists.com/tracklist/1h02536k/mochakk-apple-music-mixes-the-jealous-mix-2023-10-20.html,2023-10-20,"House, Tech House",13,27
"Mochakk @ Club Space Miami, United States",https://www.1001tracklists.com/tracklist/1qgg1yw9/mochakk-club-space-miami-united-states-2023-10-07.html,2023-10-07,"Tech House, Minimal",35,60
"Mochakk @ Expansions, ARC Music Festival Chicago, United States",https://www.1001tracklists.com/tracklist/2by6hgrk/mochakk-expansions-arc-music-festival-chicago-united-states-2023-09-03.html,2023-09-03,"House, Tech House",14,22
"Mochakk @ Stage 1, Electric Island Festival, Canada",https://www.1001tracklists.com/tracklist/268vh8lt/mochakk-stage-1-electric-island-festival-canada-2023-09-02.html,2023-09-02,"House, Tech House",15,26
Sarah Story & Mochakk & Baby Weight - Future Dance,https://www.1001tracklists.com/tracklist/1gzrzbdt/sarah-story-mochakk-baby-weight-future-dance-2023-08-25.html,2023-08-25,"House, Tech House",45,47
"Mochakk @ Circoloco OFFsónar, Spain",https://www.1001tracklists.com/tracklist/1zsb2h21/mochakk-circoloco-offsonar-spain-2023-06-15.html,2023-06-15,"House, Tech House",14,23
"Mochakk & Classmatic @ EDC Las Vegas, United States",https://www.1001tracklists.com/tracklist/2wmp2kxk/mochakk-classmatic-edc-las-vegas-united-states-2023-05-20.html,2023-05-20,Tech House,28,47
"Mochakk @ Yuma Tent, Coachella Festival Weekend 2, United States",https://www.1001tracklists.com/tracklist/2dstrkjt/mochakk-yuma-tent-coachella-festival-weekend-2-united-states-2023-04-21.html,2023-04-21,Tech House,13,20
"Mochakk @ Plaza de España, Sevilla, Spain (Cercle)",https://www.1001tracklists.com/tracklist/1gz3jq51/mochakk-plaza-de-espana-sevilla-spain-cercle-2023-04-17.html,2023-04-17,"House, Tech House",22,26
"Vintage Culture & Mochakk @ DoLab Stage, Coachella Festival Weekend 1, United States",https://www.1001tracklists.com/tracklist/16lwcrsk/vintage-culture-mochakk-dolab-stage-coachella-festival-weekend-1-united-states-2023-04-14.html,2023-04-14,"House, Tech House",21,29
"Mochakk @ Perry's By Johnnie Walker Blonde, Lollapalooza Brazil",https://www.1001tracklists.com/tracklist/2n737wyt/mochakk-perrys-by-johnnie-walker-blonde-lollapalooza-brazil-2023-03-25.html,2023-03-25,"House, Tech House",10,18
"Mochakk @ Arc Stage, SXM Festival, Netherlands",https://www.1001tracklists.com/tracklist/21m1yn49/mochakk-arc-stage-sxm-festival-netherlands-2023-03-11.html,2023-03-11,"House, Tech House",15,20
"Mochakk @ circuitGROUNDS, EDC Mexico",https://www.1001tracklists.com/tracklist/j7hffut/mochakk-circuitgrounds-edc-mexico-2023-02-26.html,2023-02-26,Tech House,09,10
"Mochakk @ D-Edge Sao Paulo, Brazil",https://www.1001tracklists.com/tracklist/1s8sg3rk/mochakk-d-edge-sao-paulo-brazil-2023-01-19.html,2023-01-19,Tech House,25,28
Pete Tong & Mochakk - Global Dance HQ,https://www.1001tracklists.com/tracklist/1t6hsd2k/pete-tong-mochakk-global-dance-hq-2023-01-13.html,2023-01-13,House,32,32
"Mochakk @ Circoloco, Art Basel Miami, United States",https://www.1001tracklists.com/tracklist/ffp16nt/mochakk-circoloco-art-basel-miami-united-states-2022-12-01.html,2022-12-01,Tech House,16,17
"Mochakk @ Lost & Found, El Paso, United States",https://www.1001tracklists.com/tracklist/19cbsrqk/mochakk-lost-and-found-el-paso-united-states-2022-09-18.html,2022-09-18,Tech House,65,75
Mochakk - Circoloco Radio 256,https://www.1001tracklists.com/tracklist/22hujrb1/mochakk-circoloco-radio-256-2022-08-22.html,2022-08-22,Tech House,05,15
Mochakk - OCHO by Gray Area,https://www.1001tracklists.com/tracklist/15n7uw69/mochakk-ocho-by-gray-area-2022-07-23.html,2022-07-23,"House, Tech House",09,14
"Mochakk @ mts Dance Arena, Exit Festival, Serbia",https://www.1001tracklists.com/tracklist/x7hww89/mochakk-mts-dance-arena-exit-festival-serbia-2022-07-09.html,2022-07-09,Tech House,16,20
Mochakk - The Radar 149,https://www.1001tracklists.com/tracklist/bm6wcb9/mochakk-the-radar-149-2022-06-01.html,2022-06-01,Tech House,05,11
Mochakk - Exron Exclusive Guest Mix 046,https://www.1001tracklists.com/tracklist/wc0wfc9/mochakk-exron-exclusive-guest-mix-046-2022-05-03.html,2022-05-03,"House, Tech House",10,11
"Classmatic & Mochakk @ Phase, Amazonas Shopping Center Brasília, Brazil",https://www.1001tracklists.com/tracklist/1vyl5pq9/classmatic-mochakk-phase-amazonas-shopping-center-brasilia-brazil-2022-04-20.html,2022-04-20,House,10,17
Mochakk - Green Valley Station,https://www.1001tracklists.com/tracklist/2hjhwdkk/mochakk-green-valley-station-2021-07-24.html,2021-07-24,"House, Tech House",06,13
"Mochakk & Halfcab @ Dirtybird Brazil Festival, Brazil",https://www.1001tracklists.com/tracklist/bk0q99k/mochakk-halfcab-dirtybird-brazil-festival-brazil-2021-05-06.html,2021-05-06,"House, Tech House",13,14
Mochakk - O Problema É GRAVE MIX,https://www.1001tracklists.com/tracklist/2whht7q1/mochakk-o-problema-e-grave-mix-2021-04-08.html,2021-04-08,"House, Melodic House/Techno",14,14
Mochakk - Green Valley Station,https://www.1001tracklists.com/tracklist/28xntpwt/mochakk-green-valley-station-2020-08-01.html,2020-08-01,"Tech House, Melodic House/Techno",07,12
"Mochakk @ Club 1001, Brazil",https://www.1001tracklists.com/tracklist/270hcvrt/mochakk-club-1001-brazil-2020-06-23.html,2020-06-23,"House, Tech House",13,14
