name,link,date,genre,tracks_identificadas,qtd_tracks
Jack Saunders & Peggy Gou - BBC Radio 1 Future Sounds,https://www.1001tracklists.com/tracklist/1lrpssrt/jack-saunders-peggy-gou-bbc-radio-1-future-sounds-2024-01-03.html,2024-01-03,"Pop, R&B / Funk",32,32
Peggy Gou - Apple Music Mixes NYE 2024 (DJ Mix),https://www.1001tracklists.com/tracklist/l4l562t/peggy-gou-apple-music-mixes-nye-2024-dj-mix-2023-12-31.html,2023-12-31,"House, Tech House",08,14
"Peggy Gou @ Mainstage, Ultra Music Festival Japan",https://www.1001tracklists.com/tracklist/15put361/peggy-gou-mainstage-ultra-music-festival-japan-2023-09-17.html,2023-09-17,"House, Techno",16,20
"Peggy Gou @ Marquee, Singapore",https://www.1001tracklists.com/tracklist/2r0xxwnt/peggy-gou-marquee-singapore-2023-06-23.html,2023-06-23,"House, Tech House",13,14
"Peggy Gou @ Ferrara Summer Festival, Italy",https://www.1001tracklists.com/tracklist/1f3ty8z1/peggy-gou-ferrara-summer-festival-italy-2023-06-17.html,2023-06-17,"House, Dance / Electro Pop",14,16
Peggy Gou - GuduMix 010,https://www.1001tracklists.com/tracklist/k58u549/peggy-gou-gudumix-010-2023-03-14.html,2023-03-14,Tech House,13,14
"Peggy Gou @ neonGARDEN, EDC Mexico",https://www.1001tracklists.com/tracklist/tkxbxyk/peggy-gou-neongarden-edc-mexico-2023-02-26.html,2023-02-26,Tech House,09,09
"Peggy Gou @ Beatport Live Desperados Rave to Save, Ibiza",https://www.1001tracklists.com/tracklist/1gxt9081/peggy-gou-beatport-live-desperados-rave-to-save-ibiza-2022-07-24.html,2022-07-24,"House, Tech House",17,17
"Peggy Gou @ Jäger Stage, Kappa FuturFestival Turin, Italy",https://www.1001tracklists.com/tracklist/2gly1cn1/peggy-gou-jager-stage-kappa-futurfestival-turin-italy-2022-07-01.html,2022-07-01,"House, Tech House",06,07
Peggy Gou & Palms Trax - BBC Radio 1 Residency,https://www.1001tracklists.com/tracklist/fc0u8ct/peggy-gou-palms-trax-bbc-radio-1-residency-2021-08-30.html,2021-08-30,"House, Tech House",13,15
"Peggy Gou @ #MontblancxMaisonKitsune, Paris, France",https://www.1001tracklists.com/tracklist/vbnjh89/peggy-gou-montblancxmaisonkitsune-paris-france-2021-07-24.html,2021-07-24,"House, Techno",16,16
Peggy Gou - Apple Music NYE 2021 DJ Mix,https://www.1001tracklists.com/tracklist/1r6q4lwk/peggy-gou-apple-music-nye-2021-dj-mix-2020-12-23.html,2020-12-23,"Tech House, Techno",11,14
"Peggy Gou @ Lost Village Festival, United Kingdom",https://www.1001tracklists.com/tracklist/1r6kzxst/peggy-gou-lost-village-festival-united-kingdom-2020-08-23.html,2020-08-23,"House, Tech House",24,31
"Peggy Gou @ Gas Tower, Lost Horizon Festival (Beatport Live)",https://www.1001tracklists.com/tracklist/10unm27k/peggy-gou-gas-tower-lost-horizon-festival-beatport-live-2020-07-04.html,2020-07-04,"Tech House, Techno",11,15
Four Tet & Peggy Gou - BBC Radio 1 Essential Mix (Glastonbury Special),https://www.1001tracklists.com/tracklist/2ulczjjt/four-tet-peggy-gou-bbc-radio-1-essential-mix-glastonbury-special-2020-06-27.html,2020-06-27,"Tech House, Techno",14,14
