name,link,date,genre,tracks_identificadas,qtd_tracks
Steve Angello & AN21 - Size Sound System 008,https://www.1001tracklists.com/tracklist/18hs6gst/steve-angello-an21-size-sound-system-008-2023-12-19.html,2023-12-19,Mainstage,17,17
"Steve Angello & Sebastian Ingrosso @ Djakarta Warehouse Project, Indonesia",https://www.1001tracklists.com/tracklist/gf7rwh1/steve-angello-sebastian-ingrosso-djakarta-warehouse-project-indonesia-2023-12-08.html,2023-12-08,"Mainstage, Tech House",12,12
Steve Angello & AN21 - Size Sound System 007,https://www.1001tracklists.com/tracklist/2wnljy5k/steve-angello-an21-size-sound-system-007-2023-11-28.html,2023-11-28,"Progressive House, Mainstage",15,15
Steve Angello & AN21 - Size Sound System 006,https://www.1001tracklists.com/tracklist/1c8wpqb9/steve-angello-an21-size-sound-system-006-2023-10-30.html,2023-10-30,Mainstage,16,16
"Steve Angello @ Mainstage, Tomorrowland Brasil",https://www.1001tracklists.com/tracklist/1f4fhzft/steve-angello-mainstage-tomorrowland-brasil-2023-10-14.html,2023-10-14,"Mainstage, Tech House",24,26
Steve Angello & AN21 - Size Sound System 005,https://www.1001tracklists.com/tracklist/2gp5vtft/steve-angello-an21-size-sound-system-005-2023-09-24.html,2023-09-24,"Progressive House, Mainstage",17,17
Steve Angello & AN21 - Size Sound System 004,https://www.1001tracklists.com/tracklist/snhyv81/steve-angello-an21-size-sound-system-004-2023-08-27.html,2023-08-27,Progressive House,18,18
"Steve Angello @ Size XX, The Brooklyn Mirage New York, United States",https://www.1001tracklists.com/tracklist/1g1xf2x1/steve-angello-size-xx-the-brooklyn-mirage-new-york-united-states-2023-08-20.html,2023-08-20,Tech House,57,64
MOGUAI & Steve Angello & Andhim - 1LIVE DJ Session,https://www.1001tracklists.com/tracklist/pv0nwz9/moguai-steve-angello-andhim-1live-dj-session-2023-08-12.html,2023-08-12,"House, Tech House",28,28
DJ Fuel & Steve Angello - The Party Life Radio Show EP550,https://www.1001tracklists.com/tracklist/2wmzh4j1/dj-fuel-steve-angello-the-party-life-radio-show-ep550-2023-08-10.html,2023-08-10,"House, Trance",09,09
Steve Angello & AN21 - Size Sound System 003,https://www.1001tracklists.com/tracklist/16mf4jjt/steve-angello-an21-size-sound-system-003-2023-08-03.html,2023-08-03,Progressive House,20,20
"Steve Angello @ SIZE XX, Freedom Stage, Tomorrowland Weekend 2, Belgium",https://www.1001tracklists.com/tracklist/2r13mp1t/steve-angello-size-xx-freedom-stage-tomorrowland-weekend-2-belgium-2023-07-30.html,2023-07-30,Tech House,36,40
"Steve Angello & Sebastian Ingrosso @ Mainstage, Tomorrowland Weekend 2, Belgium",https://www.1001tracklists.com/tracklist/2ld2y9u9/steve-angello-sebastian-ingrosso-mainstage-tomorrowland-weekend-2-belgium-2023-07-28.html,2023-07-28,"Mainstage, Tech House",17,18
Steve Angello - SiriusXM Guest Room Mix Size XX,https://www.1001tracklists.com/tracklist/2fr1pbp1/steve-angello-siriusxm-guest-room-mix-size-xx-2023-07-21.html,2023-07-21,Tech House,17,17
"Steve Angello @ Mainstage, Tomorrowland Weekend 1, Belgium",https://www.1001tracklists.com/tracklist/tl3rtmt/steve-angello-mainstage-tomorrowland-weekend-1-belgium-2023-07-21.html,2023-07-21,Tech House,20,22
Steve Angello - House Club Set Radio 606,https://www.1001tracklists.com/tracklist/2ryuu3bk/steve-angello-house-club-set-radio-606-2023-07-14.html,2023-07-14,"House, Tech House",19,19
Steve Angello & AN21 - Size Sound System 002,https://www.1001tracklists.com/tracklist/tl0pn0k/steve-angello-an21-size-sound-system-002-2023-07-02.html,2023-07-02,"Progressive House, House",15,15
"Steve Angello @ New City Gas Montreal, Canada",https://www.1001tracklists.com/tracklist/2q33517t/steve-angello-new-city-gas-montreal-canada-2023-06-17.html,2023-06-17,Tech House,27,27
