name,link,date,genre,tracks_identificadas,qtd_tracks
"Tale Of Us @ Afterlife, Zamna Tulum, Mexico",https://www.1001tracklists.com/tracklist/wdftkn9/tale-of-us-afterlife-zamna-tulum-mexico-2024-01-04.html,2024-01-04,Melodic House/Techno,08,12
"Tale Of Us @ Afterlife Santiago, Chile",https://www.1001tracklists.com/tracklist/cmz3g79/tale-of-us-afterlife-santiago-chile-2023-12-31.html,2023-12-31,Melodic House/Techno,15,22
"Tale Of Us @ Soho Garden Dubai, United Arab Emirates",https://www.1001tracklists.com/tracklist/m28g5z9/tale-of-us-soho-garden-dubai-united-arab-emirates-2023-12-09.html,2023-12-09,Melodic House/Techno,13,17
"Tale Of Us @ Afterlife Los Angeles, United States",https://www.1001tracklists.com/tracklist/1v3h5vy1/tale-of-us-afterlife-los-angeles-united-states-2023-10-14.html,2023-10-14,Melodic House/Techno,13,19
"Tale Of Us @ Afterlife Los Angeles, United States",https://www.1001tracklists.com/tracklist/2ldjufrk/tale-of-us-afterlife-los-angeles-united-states-2023-10-13.html,2023-10-13,Melodic House/Techno,11,16
"Tale Of Us @ Afterlife, Hï Ibiza, Spain",https://www.1001tracklists.com/tracklist/tlgfs01/tale-of-us-afterlife-hi-ibiza-spain-2023-09-21.html,2023-09-21,Melodic House/Techno,12,25
"Tale Of Us @ Afterlife, The Brooklyn Mirage New York, United States",https://www.1001tracklists.com/tracklist/110tlp2k/tale-of-us-afterlife-the-brooklyn-mirage-new-york-united-states-2023-09-10.html,2023-09-10,Melodic House/Techno,10,14
"Tale Of Us @ Théâtre Antique d'Orange, France",https://www.1001tracklists.com/tracklist/2jjnm2zk/tale-of-us-theatre-antique-dorange-france-2023-08-26.html,2023-08-26,Melodic House/Techno,09,12
"Tale Of Us @ Afterlife, Hï Ibiza, Spain",https://www.1001tracklists.com/tracklist/dk34w99/tale-of-us-afterlife-hi-ibiza-spain-2023-08-17.html,2023-08-17,Melodic House/Techno,09,14
"Tale Of Us @ Rise Stage, Loveland Festival, Netherlands",https://www.1001tracklists.com/tracklist/14rvnb7t/tale-of-us-rise-stage-loveland-festival-netherlands-2023-08-13.html,2023-08-13,Melodic House/Techno,05,12
