name,link,date,genre,tracks_identificadas,qtd_tracks
Timmy Trumpet - SINPHONY Radio 151,https://www.1001tracklists.com/tracklist/qtnvfht/timmy-trumpet-sinphony-radio-151-2024-01-12.html,2024-01-12,"Dance / Electro Pop, Mainstage",28,28
Timmy Trumpet - SINPHONY Radio 150 (The 1001Tracklists Special),https://www.1001tracklists.com/tracklist/1rdqb231/timmy-trumpet-sinphony-radio-150-the-1001tracklists-special-2024-01-05.html,2024-01-05,"Dance / Electro Pop, Mainstage",29,29
"Timmy Trumpet @ The Enchanted Forest, Sunburn Festival Goa, India",https://www.1001tracklists.com/tracklist/1v3vu0kt/timmy-trumpet-the-enchanted-forest-sunburn-festival-goa-india-2023-12-29.html,2023-12-29,"Progressive House, Mainstage",60,65
Timmy Trumpet - SINPHONY Radio 149 (The Best Of 2023),https://www.1001tracklists.com/tracklist/2b0qf1bt/timmy-trumpet-sinphony-radio-149-the-best-of-2023-2023-12-29.html,2023-12-29,"Dance / Electro Pop, Mainstage",25,25
Timmy Trumpet - One World Radio Full Moon 048,https://www.1001tracklists.com/tracklist/2sxkm1k9/timmy-trumpet-one-world-radio-full-moon-048-2023-12-26.html,2023-12-26,Mainstage,25,26
Timmy Trumpet - SINPHONY Radio 148 (The Best Of SINPHONY '23),https://www.1001tracklists.com/tracklist/1pk0cc8k/timmy-trumpet-sinphony-radio-148-the-best-of-sinphony-23-2023-12-22.html,2023-12-22,"Dance / Electro Pop, Mainstage",25,25
Timmy Trumpet - SINPHONY Radio 147,https://www.1001tracklists.com/tracklist/2mbnr21t/timmy-trumpet-sinphony-radio-147-2023-12-15.html,2023-12-15,"Mainstage, Dance / Electro Pop",27,27
"Timmy Trumpet @ Mainstage, Ultra Music Festival Taiwan",https://www.1001tracklists.com/tracklist/1xx573vk/timmy-trumpet-mainstage-ultra-music-festival-taiwan-2023-12-09.html,2023-12-09,Mainstage,53,56
"Timmy Trumpet @ 808 Festival, Thailand",https://www.1001tracklists.com/tracklist/2byfcjr9/timmy-trumpet-808-festival-thailand-2023-12-08.html,2023-12-08,Mainstage,59,65
Timmy Trumpet - SINPHONY Radio 146,https://www.1001tracklists.com/tracklist/ujpf1kk/timmy-trumpet-sinphony-radio-146-2023-12-08.html,2023-12-08,"Mainstage, Dance / Electro Pop",26,26
Timmy Trumpet - SINPHONY Radio 145,https://www.1001tracklists.com/tracklist/fhdvsl9/timmy-trumpet-sinphony-radio-145-2023-12-01.html,2023-12-01,"Mainstage, Dance / Electro Pop",30,30
Timmy Trumpet - One World Radio Full Moon 047,https://www.1001tracklists.com/tracklist/23hxg1u1/timmy-trumpet-one-world-radio-full-moon-047-2023-11-27.html,2023-11-27,"Mainstage, Tech House",26,26
"Timmy Trumpet @ New City Gas Montreal, Canada",https://www.1001tracklists.com/tracklist/n00xrpt/timmy-trumpet-new-city-gas-montreal-canada-2023-11-25.html,2023-11-25,"Dance / Electro Pop, Mainstage",68,75
Timmy Trumpet - SINPHONY Radio 144,https://www.1001tracklists.com/tracklist/tltjsc9/timmy-trumpet-sinphony-radio-144-2023-11-24.html,2023-11-24,"Dance / Electro Pop, Mainstage",29,29
Timmy Trumpet - SINPHONY Radio 143,https://www.1001tracklists.com/tracklist/12wt16l1/timmy-trumpet-sinphony-radio-143-2023-11-17.html,2023-11-17,"Dance / Electro Pop, Mainstage",28,28
Timmy Trumpet - SINPHONY Radio 142 (Classic Dance Tracks Remixed),https://www.1001tracklists.com/tracklist/17ks2gtt/timmy-trumpet-sinphony-radio-142-classic-dance-tracks-remixed-2023-11-10.html,2023-11-10,"Dance / Electro Pop, Mainstage",35,35
Timmy Trumpet - SINPHONY Radio 141,https://www.1001tracklists.com/tracklist/j8nzbst/timmy-trumpet-sinphony-radio-141-2023-11-03.html,2023-11-03,"Dance / Electro Pop, Mainstage",33,33
Timmy Trumpet - One World Radio Full Moon 046,https://www.1001tracklists.com/tracklist/2n86hb3k/timmy-trumpet-one-world-radio-full-moon-046-2023-10-28.html,2023-10-28,"Dance / Electro Pop, Mainstage",27,27
Timmy Trumpet - SINPHONY Radio 140 (Best Of October '23),https://www.1001tracklists.com/tracklist/2wnf34nt/timmy-trumpet-sinphony-radio-140-best-of-october-23-2023-10-27.html,2023-10-27,"Dance / Electro Pop, Mainstage",31,31
Timmy Trumpet - SINPHONY Radio 139,https://www.1001tracklists.com/tracklist/rr007xk/timmy-trumpet-sinphony-radio-139-2023-10-20.html,2023-10-20,"Dance / Electro Pop, Mainstage",29,29
"Timmy Trumpet @ Timmy Trumpet's Freak Show, Sport- und Kongresshalle Schwerin, Germany",https://www.1001tracklists.com/tracklist/2ldk2sbt/timmy-trumpet-timmy-trumpets-freak-show-sport-und-kongresshalle-schwerin-germany-2023-10-14.html,2023-10-14,"Dance / Electro Pop, Mainstage",66,70
Timmy Trumpet - SINPHONY Radio 138,https://www.1001tracklists.com/tracklist/284pvzck/timmy-trumpet-sinphony-radio-138-2023-10-13.html,2023-10-13,"Dance / Electro Pop, Mainstage",29,29
Timmy Trumpet - SINPHONY Radio 137,https://www.1001tracklists.com/tracklist/22kul3dk/timmy-trumpet-sinphony-radio-137-2023-10-06.html,2023-10-06,"Dance / Electro Pop, Mainstage",32,32
Timmy Trumpet - SINPHONY Radio 136,https://www.1001tracklists.com/tracklist/268zr0bt/timmy-trumpet-sinphony-radio-136-2023-09-29.html,2023-09-29,"Dance / Electro Pop, Mainstage",29,29
Timmy Trumpet - One World Radio Full Moon 045,https://www.1001tracklists.com/tracklist/2sx13th1/timmy-trumpet-one-world-radio-full-moon-045-2023-09-29.html,2023-09-29,"Dance / Electro Pop, Mainstage",28,28
Timmy Trumpet - SINPHONY Radio 135,https://www.1001tracklists.com/tracklist/1f497j7t/timmy-trumpet-sinphony-radio-135-2023-09-22.html,2023-09-22,Mainstage,30,30
Timmy Trumpet - SINPHONY Radio 134 (The Hardstyle Special),https://www.1001tracklists.com/tracklist/dk5bxj1/timmy-trumpet-sinphony-radio-134-the-hardstyle-special-2023-09-15.html,2023-09-15,Hard Dance,32,32
"Timmy Trumpet @ Timmy Trumpet's Freak Show, Hollywood Palladium Los Angeles, United States",https://www.1001tracklists.com/tracklist/1g260jd9/timmy-trumpet-timmy-trumpets-freak-show-hollywood-palladium-los-angeles-united-states-2023-09-08.html,2023-09-08,Mainstage,67,75
