name,link,date,genre,tracks_identificadas,qtd_tracks
Vintage Culture - Culture Shock 119,https://www.1001tracklists.com/tracklist/fhlz6h9/vintage-culture-culture-shock-119-2024-01-05.html,2024-01-05,"Tech House, Melodic House/Techno",15,15
"Vintage Culture @ UP Club Stage, Universo Paralello, Brazil",https://www.1001tracklists.com/tracklist/hc6pd0k/vintage-culture-up-club-stage-universo-paralello-brazil-2024-01-03.html,2024-01-03,"Melodic House/Techno, Techno",32,42
"Vintage Culture @ Virada Salvador, Brazil",https://www.1001tracklists.com/tracklist/1qgvlug9/vintage-culture-virada-salvador-brazil-2023-12-30.html,2023-12-30,"Progressive House, Tech House",15,19
Vintage Culture - Culture Shock 118,https://www.1001tracklists.com/tracklist/1jvzzmnt/vintage-culture-culture-shock-118-2023-12-22.html,2023-12-22,"Tech House, Melodic House/Techno",14,15
Vintage Culture - One World Radio Residency 025,https://www.1001tracklists.com/tracklist/2q41s779/vintage-culture-one-world-radio-residency-025-2023-12-15.html,2023-12-15,"Progressive House, Melodic House/Techno",13,15
Vintage Culture - Culture Shock 117,https://www.1001tracklists.com/tracklist/2ut0yqgt/vintage-culture-culture-shock-117-2023-12-08.html,2023-12-08,"Techno, Melodic House/Techno",14,14
Vintage Culture - Culture Shock 116,https://www.1001tracklists.com/tracklist/21n9k0kk/vintage-culture-culture-shock-116-2023-11-24.html,2023-11-24,"Tech House, Melodic House/Techno",15,15
"Joseph Capriati & Vintage Culture @ Time Warp USA, Brooklyn Navy Yard New York, United States",https://www.1001tracklists.com/tracklist/2rzp2b1k/joseph-capriati-vintage-culture-time-warp-usa-brooklyn-navy-yard-new-york-united-states-2023-11-17.html,2023-11-17,Techno,30,41
Vintage Culture - Culture Shock 115,https://www.1001tracklists.com/tracklist/17ktfhs9/vintage-culture-culture-shock-115-2023-11-17.html,2023-11-17,"Progressive House, Melodic House/Techno",14,14
Vintage Culture - One World Radio Residency 024,https://www.1001tracklists.com/tracklist/2p63f4kk/vintage-culture-one-world-radio-residency-024-2023-11-17.html,2023-11-17,"Tech House, Melodic House/Techno",15,15
Vintage Culture - Culture Shock 114,https://www.1001tracklists.com/tracklist/2b0g0y7k/vintage-culture-culture-shock-114-2023-11-10.html,2023-11-10,"Tech House, Melodic House/Techno",14,14
Vintage Culture - Culture Shock 113,https://www.1001tracklists.com/tracklist/2vqnnfb1/vintage-culture-culture-shock-113-2023-11-04.html,2023-11-04,"Progressive House, Melodic House/Techno",14,14
Vintage Culture - Triple J Mix Up,https://www.1001tracklists.com/tracklist/2rzfwy6k/vintage-culture-triple-j-mix-up-2023-10-28.html,2023-10-28,"Tech House, Melodic House/Techno",15,15
Vintage Culture - Culture Shock 112,https://www.1001tracklists.com/tracklist/rr16z5t/vintage-culture-culture-shock-112-2023-10-27.html,2023-10-27,"Progressive House, Melodic House/Techno",15,15
"Vintage Culture @ Thunder Machine, Vintage Is A Festival, Belo Horizonte, Brazil",https://www.1001tracklists.com/tracklist/20qbpu7t/vintage-culture-thunder-machine-vintage-is-a-festival-belo-horizonte-brazil-2023-10-21.html,2023-10-21,"Tech House, Melodic House/Techno",54,60
Vintage Culture - Culture Shock 111,https://www.1001tracklists.com/tracklist/2693uyzt/vintage-culture-culture-shock-111-2023-10-20.html,2023-10-20,"Progressive House, Melodic House/Techno",14,14
