dj,position,year
David-Guetta,42,2011
David-Guetta,15,2012
David-Guetta,8,2013
David-Guetta,10,2014
David-Guetta,10,2015
David-Guetta,7,2016
David-Guetta,9,2017
David-Guetta,11,2018
David-Guetta,10,2019
David-Guetta,9,2020
David-Guetta,10,2021
David-Guetta,7,2022
David-Guetta,8,2023
Dimitri-Vegas--Like-Mike,42,2011
Dimitri-Vegas--Like-Mike,15,2012
Dimitri-Vegas--Like-Mike,8,2013
Dimitri-Vegas--Like-Mike,10,2014
Dimitri-Vegas--Like-Mike,10,2015
Dimitri-Vegas--Like-Mike,7,2016
Dimitri-Vegas--Like-Mike,9,2017
Dimitri-Vegas--Like-Mike,11,2018
Dimitri-Vegas--Like-Mike,10,2019
Dimitri-Vegas--Like-Mike,9,2020
Dimitri-Vegas--Like-Mike,10,2021
Dimitri-Vegas--Like-Mike,7,2022
Dimitri-Vegas--Like-Mike,8,2023
Martin-Garrix,42,2011
Martin-Garrix,15,2012
Martin-Garrix,8,2013
Martin-Garrix,10,2014
Martin-Garrix,10,2015
Martin-Garrix,7,2016
Martin-Garrix,9,2017
Martin-Garrix,11,2018
Martin-Garrix,10,2019
Martin-Garrix,9,2020
Martin-Garrix,10,2021
Martin-Garrix,7,2022
Martin-Garrix,8,2023
Alok,42,2011
Alok,15,2012
Alok,8,2013
Alok,10,2014
Alok,10,2015
Alok,7,2016
Alok,9,2017
Alok,11,2018
Alok,10,2019
Alok,9,2020
Alok,10,2021
Alok,7,2022
Alok,8,2023
Armin-Van-Buuren,42,2011
Armin-Van-Buuren,15,2012
Armin-Van-Buuren,8,2013
Armin-Van-Buuren,10,2014
Armin-Van-Buuren,10,2015
Armin-Van-Buuren,7,2016
Armin-Van-Buuren,9,2017
Armin-Van-Buuren,11,2018
Armin-Van-Buuren,10,2019
Armin-Van-Buuren,9,2020
Armin-Van-Buuren,10,2021
Armin-Van-Buuren,7,2022
Armin-Van-Buuren,8,2023
Timmy-Trumpet,42,2011
Timmy-Trumpet,15,2012
Timmy-Trumpet,8,2013
Timmy-Trumpet,10,2014
Timmy-Trumpet,10,2015
Timmy-Trumpet,7,2016
Timmy-Trumpet,9,2017
Timmy-Trumpet,11,2018
Timmy-Trumpet,10,2019
Timmy-Trumpet,9,2020
Timmy-Trumpet,10,2021
Timmy-Trumpet,7,2022
Timmy-Trumpet,8,2023
Afrojack,42,2011
Afrojack,15,2012
Afrojack,8,2013
Afrojack,10,2014
Afrojack,10,2015
Afrojack,7,2016
Afrojack,9,2017
Afrojack,11,2018
Afrojack,10,2019
Afrojack,9,2020
Afrojack,10,2021
Afrojack,7,2022
Afrojack,8,2023
Steve-Aoki,42,2011
Steve-Aoki,15,2012
Steve-Aoki,8,2013
Steve-Aoki,10,2014
Steve-Aoki,10,2015
Steve-Aoki,7,2016
Steve-Aoki,9,2017
Steve-Aoki,11,2018
Steve-Aoki,10,2019
Steve-Aoki,9,2020
Steve-Aoki,10,2021
Steve-Aoki,7,2022
Steve-Aoki,8,2023
Peggy-Gou,42,2011
Peggy-Gou,15,2012
Peggy-Gou,8,2013
Peggy-Gou,10,2014
Peggy-Gou,10,2015
Peggy-Gou,7,2016
Peggy-Gou,9,2017
Peggy-Gou,11,2018
Peggy-Gou,10,2019
Peggy-Gou,9,2020
Peggy-Gou,10,2021
Peggy-Gou,7,2022
Peggy-Gou,8,2023
Vintage-Culture,42,2011
Vintage-Culture,15,2012
Vintage-Culture,8,2013
Vintage-Culture,10,2014
Vintage-Culture,10,2015
Vintage-Culture,7,2016
Vintage-Culture,9,2017
Vintage-Culture,11,2018
Vintage-Culture,10,2019
Vintage-Culture,9,2020
Vintage-Culture,10,2021
Vintage-Culture,7,2022
Vintage-Culture,8,2023
Alan-Walker,42,2011
Alan-Walker,15,2012
Alan-Walker,8,2013
Alan-Walker,10,2014
Alan-Walker,10,2015
Alan-Walker,7,2016
Alan-Walker,9,2017
Alan-Walker,11,2018
Alan-Walker,10,2019
Alan-Walker,9,2020
Alan-Walker,10,2021
Alan-Walker,7,2022
Alan-Walker,8,2023
Calvin-Harris,42,2011
Calvin-Harris,15,2012
Calvin-Harris,8,2013
Calvin-Harris,10,2014
Calvin-Harris,10,2015
Calvin-Harris,7,2016
Calvin-Harris,9,2017
Calvin-Harris,11,2018
Calvin-Harris,10,2019
Calvin-Harris,9,2020
Calvin-Harris,10,2021
Calvin-Harris,7,2022
Calvin-Harris,8,2023
Don-Diablo,42,2011
Don-Diablo,15,2012
